file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000001.spc,2.906,10.361,52.606,0.3212,0.2215,0.4553,1.0000
spect_000002.spc,1.165,18.088,64.950,0.0182,0.4157,0.5652,1.0000
spect_000003.spc,1.080,11.924,82.744,0.0091,0.2574,0.7311,1.0000
spect_000004.spc,1.867,15.862,57.382,0.1399,0.3603,0.4968,1.0000
spect_000005.spc,2.642,28.910,8.228,0.2609,0.6967,0.0402,1.0000
spect_000006.spc,2.694,27.252,11.408,0.2715,0.6544,0.0701,1.0000
spect_000007.spc,2.905,5.433,65.813,0.3251,0.0951,0.5786,1.0000
spect_000008.spc,2.083,9.698,69.934,0.1815,0.2026,0.6145,1.0000
spect_000009.spc,1.566,18.413,56.512,0.0863,0.4249,0.4876,1.0000
spect_000010.spc,1.774,3.500,92.122,0.1343,0.0429,0.8208,1.0000
spect_000011.spc,2.367,25.833,21.500,0.2168,0.6172,0.1633,1.0000
spect_000012.spc,1.441,16.468,63.980,0.0666,0.3748,0.5570,1.0000
spect_000013.spc,2.491,10.357,60.474,0.2505,0.2204,0.5275,1.0000
spect_000014.spc,3.380,7.552,51.324,0.4041,0.1505,0.4448,1.0000
spect_000015.spc,2.287,14.187,54.135,0.2125,0.3182,0.4677,1.0000
spect_000016.spc,3.024,17.959,30.067,0.3352,0.4167,0.2453,1.0000
spect_000017.spc,3.014,11.551,47.127,0.3391,0.2524,0.4046,1.0000
spect_000018.spc,2.089,11.354,65.481,0.1811,0.2450,0.5730,1.0000
spect_000019.spc,1.896,13.127,64.308,0.1470,0.2901,0.5614,1.0000
spect_000020.spc,2.660,18.747,35.042,0.2723,0.4360,0.2906,1.0000
spect_000021.spc,2.629,11.875,53.990,0.2726,0.2596,0.4673,1.0000
spect_000022.spc,3.030,14.797,38.496,0.3387,0.3356,0.3240,1.0000
spect_000023.spc,1.722,10.842,73.627,0.1192,0.2311,0.6479,1.0000
spect_000024.spc,2.153,23.809,31.059,0.1818,0.5647,0.2518,1.0000
spect_000025.spc,1.549,3.059,97.422,0.0964,0.0312,0.8696,1.0000
spect_000026.spc,1.263,19.840,58.231,0.0337,0.4609,0.5028,1.0000
spect_000027.spc,1.977,16.093,54.877,0.1582,0.3664,0.4737,1.0000
spect_000028.spc,1.288,13.759,73.923,0.0430,0.3050,0.6494,1.0000
spect_000029.spc,2.635,18.482,36.173,0.2683,0.4292,0.3011,1.0000
spect_000030.spc,2.056,8.146,74.301,0.1786,0.1628,0.6553,1.0000
spect_000031.spc,1.293,19.138,59.429,0.0395,0.4430,0.5141,1.0000
spect_000032.spc,2.549,10.307,59.422,0.2605,0.2193,0.5179,1.0000
spect_000033.spc,2.487,4.804,75.288,0.2545,0.0780,0.6658,1.0000
spect_000034.spc,3.243,13.352,38.207,0.3763,0.2990,0.3220,1.0000
spect_000035.spc,2.373,13.633,54.057,0.2277,0.3042,0.4672,1.0000
spect_000036.spc,4.718,8.925,22.112,0.6313,0.1889,0.1763,1.0000
