file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000001.spc,121.217,92.110,1069.585,16.1655,1.2818,9.1662,1.0000
spect_000002.spc,157.147,231.568,587.066,21.4777,4.7276,4.5848,1.0000
spect_000003.spc,196.981,648.156,1038.060,25.0908,14.6328,8.1517,1.0000
spect_000004.spc,169.232,704.826,3340.369,17.9556,15.2948,28.9198,1.0000
spect_000005.spc,119.003,933.437,429.197,13.1878,22.2700,2.6639,1.0000
spect_000006.spc,80.916,577.657,592.802,8.8317,13.6233,4.5717,1.0000
spect_000007.spc,97.713,1023.800,2442.150,7.2203,23.8405,20.7764,1.0000
spect_000008.spc,55.062,948.788,2140.168,1.6153,22.3114,18.2583,1.0000
spect_000009.spc,89.575,975.987,2751.420,5.8387,22.5846,23.6290,1.0000
spect_000010.spc,185.408,1032.085,1674.712,21.0397,23.9111,13.5817,1.0000
spect_000011.spc,97.372,968.822,3263.216,6.3898,22.1773,28.2190,1.0000
spect_000012.spc,180.336,999.898,1480.029,20.6624,23.2157,11.8732,1.0000
spect_000013.spc,105.217,115.437,1162.763,13.6001,1.8988,10.0352,1.0000
spect_000014.spc,192.637,520.759,1095.058,24.9016,11.4923,8.7912,1.0000
spect_000015.spc,66.735,1097.041,1993.257,2.9087,25.9645,16.7677,1.0000
spect_000016.spc,108.927,78.843,1219.148,14.2269,0.9576,10.5635,1.0000
spect_000017.spc,94.613,765.449,1512.548,8.9564,17.8387,12.6441,1.0000
spect_000018.spc,62.192,512.203,2637.100,3.8399,11.3291,23.0959,1.0000
spect_000019.spc,101.538,292.213,3163.952,9.8876,5.5185,27.9097,1.0000
spect_000020.spc,54.278,731.379,1971.576,2.5939,17.0204,16.9348,1.0000
spect_000021.spc,191.796,701.408,1154.480,23.9673,15.9264,9.1694,1.0000
spect_000022.spc,150.802,1011.529,2586.193,14.9121,23.2275,21.9164,1.0000
spect_000023.spc,132.822,890.327,3099.850,12.1307,20.1333,26.7053,1.0000
spect_000024.spc,185.744,224.428,3624.060,22.0016,3.2679,31.8463,1.0000
spect_000025.spc,144.976,861.136,739.813,16.9277,20.2455,5.4425,1.0000
spect_000026.spc,214.868,977.937,3132.629,23.8150,21.8843,26.6638,1.0000
spect_000027.spc,122.305,695.134,2219.360,12.4564,15.7053,18.9829,1.0000
spect_000028.spc,156.651,1271.802,3202.884,13.9560,29.3815,27.2208,1.0000
spect_000029.spc,79.944,693.539,2859.612,5.4413,15.6289,24.8832,1.0000
spect_000030.spc,158.063,99.728,766.615,21.9313,1.4060,6.3150,1.0000
spect_000031.spc,60.158,134.174,3573.098,3.9386,1.6686,31.8641,1.0000
spect_000032.spc,152.503,887.444,2740.254,15.4807,20.1029,23.4078,1.0000
spect_000033.spc,183.012,1148.616,604.709,21.5205,27.1984,3.8519,1.0000
spect_000034.spc,163.242,434.111,3477.909,18.0106,8.5996,30.4163,1.0000
spect_000035.spc,52.495,86.518,2347.216,4.5048,0.9935,20.8924,1.0000
spect_000036.spc,79.012,1196.053,311.725,6.3701,28.9800,1.5006,1.0000
spect_000037.spc,201.742,884.613,1275.668,24.5357,20.3481,10.0673,1.0000
spect_000038.spc,139.488,522.886,3127.931,14.5783,11.0343,27.2617,1.0000
spect_000039.spc,160.880,952.889,2772.313,16.4079,21.6634,23.6122,1.0000
spect_000040.spc,66.218,631.138,3080.731,3.4041,14.0737,26.9727,1.0000
spect_000041.spc,128.337,351.617,2960.248,13.8407,6.9301,25.9384,1.0000
spect_000042.spc,175.294,1243.254,282.764,20.3913,29.6896,0.8938,1.0000
spect_000043.spc,165.511,144.978,2641.314,20.5492,1.7781,23.1316,1.0000
spect_000044.spc,173.652,427.417,1011.642,22.5891,9.3148,8.1826,1.0000
spect_000045.spc,124.784,779.790,1947.087,12.8090,17.8826,16.4487,1.0000
spect_000046.spc,143.840,663.167,2982.268,14.8246,14.5257,25.8124,1.0000
spect_000047.spc,58.258,264.022,1356.180,5.8415,5.7145,11.7939,1.0000
spect_000048.spc,39.322,478.036,1237.807,2.3239,11.1253,10.5989,1.0000
spect_000049.spc,71.797,176.985,1988.897,7.4163,3.2653,17.5251,1.0000
spect_000050.spc,107.540,221.762,835.014,13.9092,4.6317,6.9828,1.0000
spect_000051.spc,94.487,1025.798,2604.519,6.5384,23.8440,22.2468,1.0000
spect_000052.spc,56.498,862.154,2974.224,1.1598,19.8546,25.8403,1.0000
spect_000053.spc,68.360,1175.909,2261.487,2.4976,27.7993,19.1081,1.0000
spect_000054.spc,59.872,1113.368,1267.045,2.7200,26.6740,10.2360,1.0000
spect_000055.spc,106.984,1232.147,646.151,9.9326,29.6084,4.3915,1.0000
spect_000056.spc,175.175,747.342,3278.647,18.7326,16.3373,28.3077,1.0000
spect_000057.spc,119.718,728.160,2239.135,11.9164,16.5243,19.1400,1.0000
spect_000058.spc,124.976,125.118,2892.774,14.3532,1.3893,25.5415,1.0000
spect_000059.spc,183.218,1141.155,3136.522,18.4829,26.0584,26.6547,1.0000
spect_000060.spc,195.022,614.476,2909.967,22.6490,13.1059,25.0427,1.0000
spect_000061.spc,47.090,430.119,1646.208,3.1637,9.7527,14.2940,1.0000
spect_000062.spc,135.535,539.510,254.886,17.4441,12.5470,1.3901,1.0000
spect_000063.spc,42.136,657.218,2329.235,0.6710,15.1162,20.2591,1.0000
spect_000064.spc,30.788,773.195,669.462,0.5574,18.6556,5.2477,1.0000
spect_000065.spc,65.135,1180.299,2470.683,1.7489,27.8441,20.9980,1.0000
spect_000066.spc,116.781,1049.562,2561.945,9.7765,24.3382,21.7720,1.0000
spect_000067.spc,49.528,797.552,250.195,3.7307,19.3237,1.3918,1.0000
spect_000068.spc,174.764,1058.674,3447.958,17.1937,23.9487,29.5585,1.0000
spect_000069.spc,140.215,1034.055,2793.343,13.0075,23.7557,23.7952,1.0000
spect_000070.spc,79.525,274.484,1980.215,8.1669,5.6343,17.3364,1.0000
spect_000071.spc,70.454,807.941,1487.546,5.2558,19.0120,12.4578,1.0000
spect_000072.spc,120.971,418.289,637.704,15.3260,9.4851,4.9902,1.0000
spect_000073.spc,122.775,462.315,3363.629,12.0761,9.5331,29.4903,1.0000
spect_000074.spc,82.385,128.770,2285.267,8.8098,1.9141,20.2028,1.0000
spect_000075.spc,151.977,531.751,2211.635,17.5026,11.5382,18.9639,1.0000
spect_000076.spc,177.786,1109.558,1328.956,20.0240,25.9877,10.4241,1.0000
spect_000077.spc,67.415,898.284,2183.540,3.5875,20.9907,18.6544,1.0000
spect_000078.spc,105.727,752.555,1080.007,11.1749,17.6304,8.7257,1.0000
spect_000079.spc,80.519,562.316,3013.841,5.8730,12.3337,26.3860,1.0000
spect_000080.spc,189.724,409.272,3467.867,22.0241,7.8634,30.2641,1.0000
spect_000081.spc,183.132,628.275,3266.580,20.4053,13.3689,28.2791,1.0000
spect_000082.spc,176.427,158.289,1715.177,23.2356,2.4029,14.7463,1.0000
spect_000083.spc,55.730,395.885,1610.669,4.6192,8.8807,13.9769,1.0000
spect_000084.spc,59.210,1175.075,2190.768,1.2402,27.8496,18.5010,1.0000
spect_000085.spc,132.787,795.595,3603.116,11.8964,17.6087,31.3206,1.0000
spect_000086.spc,112.415,377.850,3304.214,10.9680,7.5237,29.0626,1.0000
spect_000087.spc,79.787,573.330,1191.222,7.9508,13.2963,9.9674,1.0000
spect_000088.spc,99.803,206.725,1402.991,12.1361,4.0842,12.1347,1.0000
spect_000089.spc,153.630,270.079,2781.533,18.1171,4.8658,24.3213,1.0000
spect_000090.spc,221.305,1249.290,2713.036,24.1684,28.6995,22.6257,1.0000
spect_000091.spc,155.996,1269.784,3585.265,13.3997,29.1907,30.6677,1.0000
spect_000092.spc,94.698,215.053,3357.322,8.9587,3.5768,29.7406,1.0000
spect_000093.spc,68.354,862.937,284.082,6.1946,20.8316,1.5796,1.0000
spect_000094.spc,112.402,913.321,1287.278,11.2477,21.4824,10.4289,1.0000
spect_000095.spc,64.540,440.842,1765.911,5.5431,9.8877,15.3072,1.0000
spect_000096.spc,54.730,153.124,3017.063,3.7423,2.3717,26.8579,1.0000
spect_000097.spc,63.687,673.120,818.071,5.6290,15.9743,6.5702,1.0000
spect_000098.spc,216.632,905.230,3566.961,23.8402,19.9199,30.6332,1.0000
spect_000099.spc,46.093,488.034,1736.303,2.6701,11.1510,15.0572,1.0000
spect_000100.spc,129.025,751.205,3223.129,11.9888,16.6762,27.9503,1.0000
spect_000101.spc,27.572,593.373,705.091,0.7744,14.2257,5.7375,1.0000
spect_000102.spc,185.121,1216.449,1997.031,19.8502,28.3348,16.3220,1.0000
spect_000103.spc,142.603,1055.187,1871.658,14.4008,24.6127,15.4699,1.0000
spect_000104.spc,165.379,131.587,1701.893,21.7341,1.8031,14.6852,1.0000
spect_000105.spc,79.769,1183.542,899.647,5.8131,28.4462,6.8030,1.0000
spect_000106.spc,179.652,187.497,1334.407,24.0572,3.2509,11.2818,1.0000
spect_000107.spc,70.403,916.031,2610.969,3.4320,21.2524,22.4780,1.0000
spect_000108.spc,142.200,151.837,261.085,20.0011,2.9576,1.7673,1.0000
spect_000109.spc,89.678,202.337,387.859,11.9053,4.4079,3.0302,1.0000
spect_000110.spc,119.311,903.344,372.946,13.4248,21.5481,2.1830,1.0000
spect_000111.spc,108.021,963.038,2682.574,8.6921,22.2025,22.9623,1.0000
spect_000112.spc,181.819,283.891,1570.967,23.6933,5.5270,13.3198,1.0000
spect_000113.spc,167.892,372.637,1247.279,21.6762,7.9036,10.3709,1.0000
spect_000114.spc,164.033,628.119,2715.290,18.2680,13.6652,23.3757,1.0000
