file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
sample_000,1.2,21.0,0.2,6.02,31.32,0.63,0.9945
sample_001,2.09,19.1,7.3,10.47,28.45,20.92,0.9941
sample_002,2.15,4.4,6.1,10.74,6.53,17.43,0.9934
sample_003,3.62,4.3,4.7,18.09,6.37,13.49,0.9936
sample_004,3.41,20.0,4.3,17.07,29.83,12.28,0.9938
sample_005,4.48,17.8,4.0,22.4,26.64,11.39,0.9939
sample_006,2.12,21.3,1.6,10.61,31.73,4.68,0.9942
sample_007,0.95,22.0,5.0,4.73,32.9,14.27,0.9946
sample_008,2.96,25.4,6.9,14.78,37.92,19.85,0.9939
sample_009,5.11,12.3,2.6,25.55,18.32,7.52,0.9942
sample_010,3.06,16.1,7.4,15.32,24.0,21.22,0.9937
sample_011,5.22,16.4,6.1,26.12,24.44,17.3,0.9937
sample_012,3.71,19.9,10.6,18.57,29.74,30.33,0.9937
sample_013,0.44,3.4,6.0,2.22,5.05,17.26,0.9948
sample_014,1.56,4.2,8.2,7.81,6.34,23.42,0.9939
sample_015,3.28,12.5,8.8,16.38,18.6,25.04,0.9935
sample_016,3.79,23.3,4.4,18.96,34.77,12.51,0.9937
sample_017,2.63,7.3,3.3,13.14,10.89,9.35,0.9936
sample_018,1.31,21.0,5.2,6.55,31.41,14.78,0.9945
sample_019,5.64,6.8,10.6,28.19,10.2,30.24,0.9933
sample_020,2.25,11.8,0.6,11.27,17.56,1.66,0.9941
sample_021,1.49,15.1,10.7,7.43,22.56,30.63,0.9946
sample_022,2.96,18.2,6.9,14.78,27.17,19.84,0.9939
sample_023,2.1,18.9,5.1,10.49,28.22,14.55,0.9939
sample_024,5.22,13.2,2.5,26.12,19.74,7.22,0.9943
sample_025,2.57,18.8,7.9,12.87,28.06,22.63,0.994
sample_026,2.19,7.4,7.5,10.96,11.04,21.37,0.9936
sample_027,0.73,16.4,10.9,3.67,24.46,31.12,0.9949
sample_028,4.55,4.4,6.2,22.77,6.62,17.72,0.9936
sample_029,4.65,19.1,3.7,23.24,28.47,10.53,0.9938
sample_030,4.55,5.5,3.4,22.77,8.24,9.81,0.9943
sample_031,3.61,5.4,1.6,18.04,8.11,4.48,0.9947
sample_032,2.77,15.1,1.4,13.83,22.55,3.91,0.9941
sample_033,4.18,12.3,3.4,20.92,18.43,9.67,0.9939
sample_034,1.62,21.1,7.3,8.1,31.43,20.84,0.9943
sample_035,5.55,9.9,8.2,27.76,14.74,23.49,0.9934
sample_036,5.18,5.7,3.4,25.89,8.47,9.77,0.9946
sample_037,4.17,15.3,2.7,20.84,22.89,7.7,0.9938
sample_038,1.21,5.0,3.7,6.07,7.43,10.48,0.9936
sample_039,4.57,12.0,5.3,22.86,17.96,15.08,0.9935
sample_040,4.99,21.2,5.8,24.93,31.71,16.65,0.9936
sample_041,3.55,12.2,9.7,17.76,18.17,27.78,0.9935
sample_042,3.66,23.3,0.8,18.31,34.85,2.28,0.9942
sample_043,0.93,18.3,6.4,4.64,27.33,18.15,0.9947
sample_044,1.09,14.3,0.7,5.45,21.31,1.88,0.9942
sample_045,0.93,16.5,3.7,4.63,24.59,10.51,0.9946
sample_046,1.28,21.7,6.2,6.39,32.33,17.62,0.9946
sample_047,3.09,11.1,9.3,15.46,16.63,26.49,0.9936
sample_048,5.36,24.3,6.2,26.82,36.31,17.84,0.9936
sample_049,2.36,9.8,6.8,11.79,14.6,19.3,0.9935
sample_050,1.39,11.7,0.6,6.96,17.41,1.65,0.9943
sample_051,4.75,16.2,6.4,23.73,24.16,18.28,0.9936
sample_052,2.68,15.5,0.5,13.4,23.15,1.42,0.9942
sample_053,1.51,23.7,3.8,7.55,35.45,10.76,0.9944
sample_054,3.73,14.5,0.4,18.64,21.71,1.04,0.9944
sample_055,0.6,6.7,9.9,2.99,9.97,28.35,0.9951
sample_056,0.61,7.0,7.1,3.07,10.46,20.31,0.9949
sample_057,0.67,14.7,4.9,3.35,21.94,13.94,0.9945
sample_058,1.5,13.2,10.9,7.52,19.74,31.21,0.9945
sample_059,0.93,20.7,6.0,4.67,30.92,17.18,0.9947
sample_060,1.08,12.3,3.2,5.42,18.3,9.12,0.9942
sample_061,2.4,15.8,7.8,12.02,23.63,22.15,0.9938
sample_062,3.13,12.4,9.4,15.64,18.44,26.95,0.9936
sample_063,2.53,3.6,7.2,12.66,5.32,20.66,0.9935
sample_064,4.35,24.2,9.2,21.74,36.1,26.17,0.9938
sample_065,3.87,24.0,6.9,19.36,35.89,19.58,0.9937
sample_066,3.84,11.8,9.7,19.21,17.68,27.61,0.9933
sample_067,4.9,4.4,7.0,24.51,6.55,20.08,0.9934
sample_068,4.12,24.8,6.2,20.58,36.94,17.72,0.9938
sample_069,2.97,14.4,3.2,14.84,21.45,9.1,0.9938
sample_070,4.4,15.6,5.2,21.99,23.25,15.0,0.9937
sample_071,1.02,23.4,9.0,5.09,34.95,25.8,0.9947
sample_072,2.6,10.5,8.3,13.02,15.7,23.59,0.9935
sample_073,2.59,5.8,0.8,12.97,8.61,2.15,0.9945
sample_074,4.28,7.2,1.9,21.41,10.68,5.49,0.9945
sample_075,1.1,11.1,10.0,5.5,16.5,28.57,0.9947
sample_076,3.71,8.3,11.1,18.57,12.39,31.57,0.9935
sample_077,2.99,6.9,7.1,14.97,10.26,20.34,0.9934
sample_078,5.08,6.4,8.3,25.4,9.61,23.85,0.9934
sample_079,5.18,13.6,4.9,25.92,20.35,13.89,0.9937
sample_080,0.82,16.7,9.6,4.1,24.86,27.53,0.9948
sample_081,2.31,17.2,7.6,11.56,25.72,21.67,0.994
sample_082,0.38,11.7,2.9,1.88,17.41,8.18,0.9947
sample_083,0.38,4.3,6.1,1.91,6.39,17.37,0.995
sample_084,5.3,12.6,2.1,26.49,18.75,5.96,0.9944
sample_085,1.31,12.2,7.5,6.53,18.17,21.41,0.9943
sample_086,0.82,6.0,8.9,4.11,9.0,25.35,0.9949
sample_087,1.89,6.2,7.5,9.44,9.25,21.54,0.9935
sample_088,1.18,23.0,4.4,5.88,34.28,12.57,0.9948
sample_089,2.31,14.5,10.7,11.53,21.68,30.46,0.994
sample_090,1.22,12.0,6.6,6.12,17.9,18.78,0.9945
sample_091,3.11,18.1,10.1,15.53,27.05,28.83,0.9939
sample_092,4.45,8.5,3.9,22.23,12.62,11.13,0.9939
sample_093,1.83,8.4,1.6,9.16,12.5,4.64,0.9938
sample_094,2.51,19.3,10.0,12.57,28.85,28.66,0.9942
sample_095,1.03,19.6,6.3,5.15,29.33,17.91,0.9946
sample_096,2.63,23.5,6.5,13.16,35.12,18.59,0.9939
sample_097,3.02,3.5,3.5,15.09,5.29,10.02,0.9937
sample_098,5.09,12.6,10.8,25.44,18.83,30.73,0.9934
sample_099,1.46,19.8,1.8,7.32,29.49,5.28,0.9943
sample_100,1.4,10.4,10.4,7.01,15.53,29.65,0.9945
sample_1000,0.79,23.4,5.1,3.94,35.0,14.44,0.9949
sample_1001,1.64,5.4,3.8,8.21,8.11,10.79,0.9931
sample_1002,1.03,16.0,7.1,5.14,23.88,20.38,0.9945
sample_1003,2.51,17.5,6.0,12.53,26.12,17.28,0.9938
sample_1004,1.83,17.9,5.4,9.17,26.71,15.49,0.9943
sample_1005,2.11,16.4,1.7,10.56,24.53,4.74,0.994
sample_1006,3.78,15.7,0.9,18.88,23.47,2.44,0.9942
sample_1007,0.63,15.8,6.3,3.16,23.52,17.94,0.9947
sample_1008,0.5,3.9,3.3,2.5,5.83,9.43,0.9944
sample_1009,2.92,14.7,1.7,14.61,21.95,4.9,0.994
sample_101,5.45,21.5,3.8,27.25,32.05,10.74,0.994
sample_1010,3.02,21.1,10.7,15.11,31.52,30.52,0.9941
sample_1011,1.85,4.4,1.9,9.24,6.53,5.56,0.9937
sample_1012,1.05,18.5,3.6,5.27,27.67,10.39,0.9946
sample_1013,2.46,2.4,3.1,12.28,3.61,8.78,0.9934
sample_1014,2.08,16.0,9.8,10.42,23.94,27.97,0.9942
sample_1015,3.53,19.6,9.4,17.67,29.22,26.77,0.994
sample_1016,3.24,12.6,9.3,16.22,18.88,26.43,0.9937
sample_1017,1.62,21.7,8.4,8.09,32.34,23.95,0.9945
sample_1018,3.74,7.7,1.9,18.7,11.45,5.32,0.9945
sample_1019,2.96,7.2,5.6,14.8,10.71,16.09,0.9936
sample_102,4.0,7.2,5.4,19.98,10.81,15.55,0.9936
sample_1020,1.87,7.4,9.9,9.35,11.1,28.37,0.994
sample_1021,2.62,18.0,7.2,13.1,26.92,20.48,0.9938
sample_1022,5.69,18.9,6.5,28.44,28.25,18.71,0.9937
sample_1023,3.38,6.2,10.0,16.91,9.19,28.49,0.9933
sample_1024,4.36,13.8,2.2,21.81,20.62,6.32,0.994
sample_1025,4.74,13.9,9.7,23.71,20.82,27.83,0.9936
sample_1026,2.24,18.6,7.0,11.2,27.75,19.87,0.9939
sample_1027,4.33,7.3,9.8,21.64,10.95,27.93,0.9933
sample_1028,0.72,10.4,7.1,3.59,15.46,20.37,0.9948
sample_1029,2.7,4.7,9.0,13.48,7.04,25.64,0.9934
sample_103,4.1,10.8,8.1,20.48,16.07,23.13,0.9934
sample_1030,1.38,24.1,5.4,6.92,35.98,15.42,0.9945
sample_1031,3.88,10.6,5.2,19.42,15.81,14.9,0.9936
sample_1032,0.59,19.2,1.6,2.95,28.61,4.71,0.9948
sample_1033,3.83,20.1,9.9,19.17,29.93,28.3,0.9936
sample_1034,3.01,14.4,2.5,15.04,21.5,7.11,0.9937
sample_1035,0.63,7.3,8.7,3.17,10.93,24.95,0.9948
sample_1036,2.9,7.6,7.4,14.48,11.42,21.07,0.9934
sample_1037,3.53,19.3,10.3,17.63,28.82,29.51,0.9938
sample_1038,1.45,4.9,4.5,7.27,7.38,12.84,0.9934
sample_1039,5.14,11.1,4.2,25.71,16.57,11.88,0.994
sample_104,1.51,2.0,3.0,7.57,3.04,8.66,0.9933
sample_1040,4.48,19.4,4.4,22.38,28.97,12.55,0.9938
sample_1041,3.54,22.0,5.1,17.68,32.8,14.45,0.9938
sample_105,5.28,21.4,5.3,26.4,31.95,15.04,0.9937
sample_106,2.47,5.1,7.8,12.36,7.61,22.3,0.9932
sample_107,0.78,15.5,1.3,3.88,23.14,3.66,0.9946
sample_108,5.21,16.1,5.5,26.07,24.04,15.64,0.9937
sample_109,1.92,10.9,3.0,9.58,16.24,8.47,0.9936
sample_110,3.04,10.4,2.4,15.18,15.57,6.87,0.9938
sample_111,2.91,8.9,0.2,14.56,13.22,0.55,0.9945
sample_112,0.93,11.4,10.4,4.67,17.0,29.69,0.9949
sample_113,2.39,17.9,1.9,11.95,26.65,5.49,0.994
sample_114,3.52,4.1,8.1,17.58,6.07,23.11,0.9933
sample_115,5.1,5.9,0.6,25.5,8.73,1.76,0.9958
sample_116,2.57,12.7,4.6,12.87,18.98,13.03,0.9936
sample_117,2.59,8.6,0.3,12.97,12.86,0.81,0.9944
sample_118,5.62,15.5,6.7,28.1,23.07,19.24,0.9936
sample_119,3.56,8.0,9.0,17.79,11.89,25.77,0.9932
sample_120,1.88,12.5,7.8,9.42,18.6,22.35,0.994
