sample_id,K_est,U_est,Th_est
sample_000,1.2,21.0,0.2
sample_001,2.09,19.1,7.3
sample_002,2.15,4.4,6.1
sample_003,3.62,4.3,4.7
sample_004,3.41,20.0,4.3
sample_005,4.48,17.8,4.0
sample_006,2.12,21.3,1.6
sample_007,0.95,22.0,5.0
sample_008,2.96,25.4,6.9
sample_009,5.11,12.3,2.6
sample_010,3.06,16.1,7.4
sample_011,5.22,16.4,6.1
sample_012,3.71,19.9,10.6
sample_013,0.44,3.4,6.0
sample_014,1.56,4.2,8.2
sample_015,3.28,12.5,8.8
sample_016,3.79,23.3,4.4
sample_017,2.63,7.3,3.3
sample_018,1.31,21.0,5.2
sample_019,5.64,6.8,10.6
sample_020,2.25,11.8,0.6
sample_021,1.49,15.1,10.7
sample_022,2.96,18.2,6.9
sample_023,2.1,18.9,5.1
sample_024,5.22,13.2,2.5
sample_025,2.57,18.8,7.9
sample_026,2.19,7.4,7.5
sample_027,0.73,16.4,10.9
sample_028,4.55,4.4,6.2
sample_029,4.65,19.1,3.7
sample_030,4.55,5.5,3.4
sample_031,3.61,5.4,1.6
sample_032,2.77,15.1,1.4
sample_033,4.18,12.3,3.4
sample_034,1.62,21.1,7.3
sample_035,5.55,9.9,8.2
sample_036,5.18,5.7,3.4
sample_037,4.17,15.3,2.7
sample_038,1.21,5.0,3.7
sample_039,4.57,12.0,5.3
sample_040,4.99,21.2,5.8
sample_041,3.55,12.2,9.7
sample_042,3.66,23.3,0.8
sample_043,0.93,18.3,6.4
sample_044,1.09,14.3,0.7
sample_045,0.93,16.5,3.7
sample_046,1.28,21.7,6.2
sample_047,3.09,11.1,9.3
sample_048,5.36,24.3,6.2
sample_049,2.36,9.8,6.8
sample_050,1.39,11.7,0.6
sample_051,4.75,16.2,6.4
sample_052,2.68,15.5,0.5
sample_053,1.51,23.7,3.8
sample_054,3.73,14.5,0.4
sample_055,0.6,6.7,9.9
sample_056,0.61,7.0,7.1
sample_057,0.67,14.7,4.9
sample_058,1.5,13.2,10.9
sample_059,0.93,20.7,6.0
sample_060,1.08,12.3,3.2
sample_061,2.4,15.8,7.8
sample_062,3.13,12.4,9.4
sample_063,2.53,3.6,7.2
sample_064,4.35,24.2,9.2
sample_065,3.87,24.0,6.9
sample_066,3.84,11.8,9.7
sample_067,4.9,4.4,7.0
sample_068,4.12,24.8,6.2
sample_069,2.97,14.4,3.2
sample_070,4.4,15.6,5.2
sample_071,1.02,23.4,9.0
sample_072,2.6,10.5,8.3
sample_073,2.59,5.8,0.8
sample_074,4.28,7.2,1.9
sample_075,1.1,11.1,10.0
sample_076,3.71,8.3,11.1
sample_077,2.99,6.9,7.1
sample_078,5.08,6.4,8.3
sample_079,5.18,13.6,4.9
sample_080,0.82,16.7,9.6
sample_081,2.31,17.2,7.6
sample_082,0.38,11.7,2.9
sample_083,0.38,4.3,6.1
sample_084,5.3,12.6,2.1
sample_085,1.31,12.2,7.5
sample_086,0.82,6.0,8.9
sample_087,1.89,6.2,7.5
sample_088,1.18,23.0,4.4
sample_089,2.31,14.5,10.7
sample_090,1.22,12.0,6.6
sample_091,3.11,18.1,10.1
sample_092,4.45,8.5,3.9
sample_093,1.83,8.4,1.6
sample_094,2.51,19.3,10.0
sample_095,1.03,19.6,6.3
sample_096,2.63,23.5,6.5
sample_097,3.02,3.5,3.5
sample_098,5.09,12.6,10.8
sample_099,1.46,19.8,1.8
sample_100,1.4,10.4,10.4
sample_1000,0.79,23.4,5.1
sample_1001,1.64,5.4,3.8
sample_1002,1.03,16.0,7.1
sample_1003,2.51,17.5,6.0
sample_1004,1.83,17.9,5.4
sample_1005,2.11,16.4,1.7
sample_1006,3.78,15.7,0.9
sample_1007,0.63,15.8,6.3
sample_1008,0.5,3.9,3.3
sample_1009,2.92,14.7,1.7
sample_101,5.45,21.5,3.8
sample_1010,3.02,21.1,10.7
sample_1011,1.85,4.4,1.9
sample_1012,1.05,18.5,3.6
sample_1013,2.46,2.4,3.1
sample_1014,2.08,16.0,9.8
sample_1015,3.53,19.6,9.4
sample_1016,3.24,12.6,9.3
sample_1017,1.62,21.7,8.4
sample_1018,3.74,7.7,1.9
sample_1019,2.96,7.2,5.6
sample_102,4.0,7.2,5.4
sample_1020,1.87,7.4,9.9
sample_1021,2.62,18.0,7.2
sample_1022,5.69,18.9,6.5
sample_1023,3.38,6.2,10.0
sample_1024,4.36,13.8,2.2
sample_1025,4.74,13.9,9.7
sample_1026,2.24,18.6,7.0
sample_1027,4.33,7.3,9.8
sample_1028,0.72,10.4,7.1
sample_1029,2.7,4.7,9.0
sample_103,4.1,10.8,8.1
sample_1030,1.38,24.1,5.4
sample_1031,3.88,10.6,5.2
sample_1032,0.59,19.2,1.6
sample_1033,3.83,20.1,9.9
sample_1034,3.01,14.4,2.5
sample_1035,0.63,7.3,8.7
sample_1036,2.9,7.6,7.4
sample_1037,3.53,19.3,10.3
sample_1038,1.45,4.9,4.5
sample_1039,5.14,11.1,4.2
sample_104,1.51,2.0,3.0
sample_1040,4.48,19.4,4.4
sample_1041,3.54,22.0,5.1
sample_105,5.28,21.4,5.3
sample_106,2.47,5.1,7.8
sample_107,0.78,15.5,1.3
sample_108,5.21,16.1,5.5
sample_109,1.92,10.9,3.0
sample_110,3.04,10.4,2.4
sample_111,2.91,8.9,0.2
sample_112,0.93,11.4,10.4
sample_113,2.39,17.9,1.9
sample_114,3.52,4.1,8.1
sample_115,5.1,5.9,0.6
sample_116,2.57,12.7,4.6
sample_117,2.59,8.6,0.3
sample_118,5.62,15.5,6.7
sample_119,3.56,8.0,9.0
sample_120,1.88,12.5,7.8
sample_121,2.7,13.7,5.9
sample_122,5.38,14.5,6.4
sample_123,5.31,25.1,5.9
sample_124,5.19,7.3,0.6
sample_125,1.85,3.3,0.3
sample_126,1.87,18.1,9.6
sample_127,1.95,24.4,5.8
sample_128,5.1,10.4,7.8
sample_129,2.24,21.2,2.9
sample_130,2.43,5.4,2.3
sample_131,4.33,9.5,7.3
sample_132,1.62,15.4,9.1
sample_133,1.57,14.6,9.6
sample_134,1.36,13.5,6.3
sample_135,1.57,10.8,0.6
sample_136,4.91,5.0,8.3
sample_137,2.84,23.9,10.7
sample_138,2.16,6.7,5.5
sample_139,3.1,4.2,6.3
sample_140,1.85,18.9,3.1
sample_141,3.01,11.5,3.6
sample_142,3.58,11.4,7.0
sample_143,5.55,16.5,4.9
sample_144,1.3,15.8,0.8
sample_145,4.1,20.9,3.9
sample_146,4.71,22.0,7.8
sample_147,0.81,17.2,3.6
sample_148,0.72,11.2,1.7
sample_149,2.04,7.0,5.7
sample_150,4.18,21.3,9.6
sample_151,2.27,15.8,7.4
sample_152,4.52,9.1,7.3
sample_153,2.26,16.5,4.7
sample_154,1.52,3.8,6.3
sample_155,2.83,23.0,1.2
sample_156,5.48,24.6,9.5
sample_157,1.0,8.9,8.9
sample_158,4.46,8.3,1.6
sample_159,2.11,14.6,1.0
sample_160,1.04,24.2,6.0
sample_161,3.41,9.6,1.3
sample_162,2.26,10.2,6.7
sample_163,2.54,15.9,0.5
sample_164,3.26,21.1,7.0
sample_165,1.15,18.5,7.3
sample_166,5.12,14.8,9.4
sample_167,5.51,5.9,7.0
sample_168,4.15,8.9,7.7
sample_169,1.09,13.6,4.6
sample_170,1.51,18.8,4.5
sample_171,0.81,5.8,3.5
sample_172,2.05,20.0,10.8
sample_173,2.82,10.6,6.9
sample_174,4.91,14.4,8.7
sample_175,3.7,22.6,2.8
sample_176,2.71,24.0,10.4
sample_177,1.46,8.6,6.6
sample_178,3.89,17.5,6.2
sample_179,4.62,22.1,9.5
sample_180,1.46,17.6,1.7
sample_181,3.51,20.3,9.2
sample_182,4.46,22.5,5.3
sample_183,4.35,15.2,3.7
sample_184,1.34,7.0,5.6
sample_185,5.71,17.0,6.7
sample_186,4.14,5.6,1.7
sample_187,1.41,15.2,10.8
sample_188,4.79,8.1,10.3
sample_189,4.39,17.5,0.6
sample_190,5.21,13.2,4.5
sample_191,4.78,23.9,1.5
sample_192,1.08,23.7,5.1
sample_193,3.24,16.3,0.5
sample_194,3.06,22.9,3.0
sample_195,2.62,4.9,3.3
sample_196,5.59,25.1,6.1
sample_197,1.52,11.1,4.5
sample_198,4.11,12.7,6.6
sample_199,1.08,16.4,5.0
sample_200,1.45,3.7,4.4
sample_201,1.3,2.5,5.1
sample_202,1.23,13.6,10.2
sample_203,1.25,12.6,1.3
sample_204,2.93,4.0,7.5
sample_205,3.27,11.4,9.3
sample_206,2.68,10.7,10.4
sample_207,2.57,6.6,2.5
sample_208,3.04,14.6,8.6
sample_209,0.63,19.4,4.1
sample_210,5.48,11.9,4.2
sample_211,3.11,16.6,8.2
sample_212,3.68,6.7,1.6
sample_213,2.51,12.9,1.0
sample_214,3.67,14.6,1.4
sample_215,5.37,20.1,4.2
sample_216,2.55,18.6,6.3
sample_217,2.62,15.9,10.0
sample_218,4.05,10.3,4.4
sample_219,1.38,3.0,3.8
sample_220,0.8,18.4,6.8
sample_221,1.38,16.1,3.4
sample_222,5.05,16.3,2.2
sample_223,4.34,19.0,0.7
sample_224,0.76,6.3,7.4
sample_225,3.59,20.8,4.0
sample_226,4.24,21.3,1.7
sample_227,5.17,16.4,10.6
sample_228,4.19,10.2,2.4
sample_229,3.74,12.5,4.3
sample_230,2.7,19.4,2.5
sample_231,0.8,22.6,7.9
sample_232,1.13,13.9,4.4
sample_233,2.05,8.4,5.3
sample_234,2.57,13.5,2.0
sample_235,4.18,5.5,6.3
sample_236,0.38,11.4,2.4
sample_237,4.42,9.6,9.7
sample_238,4.6,21.2,3.1
sample_239,1.54,21.5,5.9
sample_240,2.48,23.0,5.5
sample_241,2.84,8.0,1.3
sample_242,3.9,20.6,9.2
sample_243,2.11,17.3,2.9
sample_244,0.55,14.8,3.3
sample_245,1.79,10.3,4.3
sample_246,1.14,6.8,9.5
sample_247,4.7,6.4,1.7
sample_248,4.69,12.5,6.5
sample_249,3.11,17.7,9.9
sample_250,5.37,17.0,3.7
sample_251,4.67,20.8,9.6
sample_252,3.37,8.1,2.4
sample_253,1.21,23.8,9.0
sample_254,4.04,6.9,3.5
sample_255,0.6,16.0,5.8
sample_256,3.91,12.2,2.2
sample_257,3.68,14.2,5.3
sample_258,2.37,7.6,7.6
sample_259,4.6,9.7,9.7
sample_260,1.41,19.7,7.5
sample_261,1.83,10.3,6.2
sample_262,1.64,6.3,4.4
sample_263,1.65,10.0,8.3
sample_264,3.63,21.9,5.6
sample_265,1.23,7.2,4.2
sample_266,2.95,6.5,0.8
sample_267,0.91,23.9,10.7
sample_268,3.98,7.6,8.7
sample_269,3.09,5.0,10.1
sample_270,2.54,23.7,6.9
sample_271,1.06,16.5,8.2
sample_272,2.51,3.1,0.9
sample_273,1.4,6.1,6.5
sample_274,0.6,13.0,1.6
sample_275,3.65,15.4,8.1
sample_276,3.3,5.3,4.0
sample_277,0.8,19.8,9.9
sample_278,3.31,13.0,0.2
sample_279,4.08,24.6,1.8
sample_280,4.07,4.0,1.8
sample_281,5.4,8.0,10.4
sample_282,0.43,4.2,0.6
sample_283,5.18,20.2,8.0
sample_284,5.37,16.5,10.4
sample_285,0.9,5.3,10.2
sample_286,3.82,4.3,3.6
sample_287,1.88,22.9,4.3
sample_288,3.96,12.4,6.7
sample_289,0.67,9.3,6.6
sample_290,3.23,9.1,6.7
sample_291,1.47,16.3,7.2
sample_292,0.94,15.5,4.8
sample_293,4.14,10.8,3.9
sample_294,2.61,15.7,3.7
sample_295,0.68,19.7,0.7
sample_296,1.9,24.8,9.0
sample_297,2.77,20.3,4.9
sample_298,1.55,10.2,9.1
sample_299,0.82,20.3,4.0
sample_300,1.75,11.8,8.8
sample_301,3.3,4.6,5.3
sample_302,4.17,19.8,10.5
sample_303,1.83,25.0,9.4
sample_304,0.62,6.9,3.6
sample_305,3.54,15.2,8.1
sample_306,2.04,21.2,7.2
sample_307,2.98,17.3,8.3
sample_308,1.81,22.9,1.5
sample_309,3.38,4.9,1.3
sample_310,2.71,20.5,3.6
sample_311,4.44,15.7,0.9
sample_312,0.9,16.5,10.1
sample_313,3.59,12.1,8.8
sample_314,4.51,12.4,6.7
sample_315,3.67,11.1,4.1
sample_316,1.52,19.0,3.5
sample_317,0.69,19.7,5.6
sample_318,0.34,3.6,2.6
sample_319,4.64,21.7,5.5
sample_320,1.11,23.2,2.8
sample_321,4.7,20.3,3.1
sample_322,3.79,18.0,5.8
sample_323,4.76,10.4,6.2
sample_324,1.08,17.3,7.2
sample_325,0.75,15.3,0.8
sample_326,3.99,20.3,4.3
sample_327,2.65,18.8,6.3
sample_328,3.41,13.3,6.2
sample_329,3.57,11.8,4.6
sample_330,2.71,4.2,5.2
sample_331,0.86,9.7,8.8
sample_332,2.0,6.4,7.4
sample_333,3.73,19.1,9.9
sample_334,2.03,16.5,10.8
sample_335,4.05,15.3,4.4
sample_336,2.7,21.4,0.5
sample_337,0.72,4.4,3.3
sample_338,1.51,10.4,4.8
sample_339,3.75,22.0,6.6
sample_340,0.73,17.7,2.8
sample_341,3.39,12.7,3.4
sample_342,2.24,5.4,10.5
sample_343,1.33,19.3,7.5
sample_344,5.05,22.5,2.4
sample_345,1.67,16.5,9.8
sample_346,1.61,6.8,10.1
sample_347,4.16,10.1,3.1
sample_348,5.31,22.0,9.1
sample_349,2.38,20.3,2.3
sample_350,0.74,15.9,9.0
sample_351,5.59,20.6,7.0
sample_352,3.88,6.8,10.5
sample_353,1.82,12.9,2.2
sample_354,2.75,10.2,1.7
sample_355,2.0,13.5,2.9
sample_356,1.64,13.3,6.2
sample_357,3.62,16.3,5.3
sample_358,5.01,16.7,9.9
sample_359,3.63,21.5,2.3
sample_360,1.63,5.5,3.2
sample_361,4.54,15.6,9.0
sample_362,0.59,8.1,4.7
sample_363,5.05,7.9,10.7
sample_364,2.36,4.2,0.7
sample_365,2.78,6.3,4.1
sample_366,2.26,5.3,0.7
sample_367,5.54,22.2,0.6
sample_368,1.41,20.0,5.4
sample_369,0.72,14.2,6.8
sample_370,2.01,16.6,9.8
sample_371,1.08,16.6,6.8
sample_372,5.31,10.4,6.9
sample_373,3.61,7.5,4.8
sample_374,1.18,5.2,6.1
sample_375,4.32,19.7,4.9
sample_376,1.1,9.5,6.0
sample_377,5.48,11.4,7.7
sample_378,1.92,24.7,9.8
sample_379,1.16,12.8,1.5
sample_380,1.99,22.5,9.3
sample_381,4.37,13.7,10.1
sample_382,3.89,13.4,8.1
sample_383,2.72,20.2,6.7
sample_384,3.97,26.0,7.6
sample_385,2.28,4.8,2.0
sample_386,3.35,19.4,6.6
sample_387,4.38,20.5,10.4
sample_388,2.18,2.5,4.3
sample_389,0.77,13.7,2.3
sample_390,0.65,3.7,3.3
sample_391,1.04,16.9,1.4
sample_392,5.1,10.4,6.4
sample_393,3.45,20.2,7.2
sample_394,3.29,10.0,3.6
sample_395,2.43,17.4,4.7
sample_396,5.34,11.1,5.6
sample_397,4.82,21.9,2.9
sample_398,2.85,5.4,10.2
sample_399,3.95,17.7,1.4
sample_400,3.18,15.0,8.2
sample_401,3.14,6.7,4.1
sample_402,0.75,5.1,6.9
sample_403,3.08,13.8,4.3
sample_404,2.55,14.2,4.3
sample_405,2.79,23.6,1.7
sample_406,0.89,21.4,8.3
sample_407,4.73,9.4,2.5
sample_408,4.68,16.6,9.7
sample_409,3.82,5.3,6.9
sample_410,3.69,24.6,8.9
sample_411,5.19,24.4,4.4
sample_412,2.95,15.8,4.1
sample_413,2.77,9.8,8.0
sample_414,4.6,9.3,4.0
sample_415,2.06,6.7,6.8
sample_416,0.69,3.8,1.6
sample_417,4.64,21.8,6.2
sample_418,0.42,1.7,3.7
sample_419,2.79,14.5,3.8
sample_420,5.55,27.1,10.5
sample_421,2.66,15.6,5.4
sample_422,1.93,14.6,10.4
sample_423,5.57,25.7,10.1
sample_424,0.66,3.3,8.4
sample_425,5.5,14.6,5.1
sample_426,4.09,7.5,10.2
sample_427,1.57,15.0,5.0
sample_428,1.62,13.5,4.8
sample_429,1.47,20.4,7.6
sample_430,1.2,22.5,0.7
sample_431,5.43,23.5,7.7
sample_432,2.09,23.7,10.0
sample_433,3.77,19.4,1.0
sample_434,4.44,20.2,2.0
sample_435,3.85,4.3,0.6
sample_436,1.75,13.8,9.8
sample_437,5.0,25.1,10.9
sample_438,0.63,20.0,1.6
sample_439,2.14,3.5,7.1
sample_440,3.53,4.2,3.4
sample_441,1.23,4.8,2.8
sample_442,3.04,13.2,1.2
sample_443,5.11,15.0,10.7
sample_444,4.55,11.4,0.7
sample_445,0.91,20.6,7.0
sample_446,3.23,19.4,3.5
sample_447,4.54,5.5,9.6
sample_448,3.99,17.3,1.0
sample_449,2.38,24.2,10.2
sample_450,2.58,22.9,7.5
sample_451,1.67,14.7,10.8
sample_452,4.24,19.2,8.8
sample_453,3.22,15.9,8.6
sample_454,1.0,10.1,1.3
sample_455,1.54,14.8,6.6
sample_456,0.65,3.9,6.6
sample_457,2.56,11.6,2.5
sample_458,3.47,5.8,1.9
sample_459,2.21,16.9,9.2
sample_460,3.44,6.3,9.9
sample_461,3.31,9.0,1.0
sample_462,2.19,2.8,2.3
sample_463,2.9,17.0,2.1
sample_464,0.44,14.5,3.2
sample_465,1.51,21.4,9.7
sample_466,1.59,11.4,9.8
sample_467,4.47,12.7,1.7
sample_468,3.91,4.0,4.0
sample_469,4.1,7.1,2.1
sample_470,5.38,24.1,2.9
sample_471,0.52,2.3,1.8
sample_472,4.3,9.5,5.2
sample_473,4.91,15.2,5.3
sample_474,4.8,17.8,4.2
sample_475,2.43,19.1,5.2
sample_476,2.41,22.6,6.7
sample_477,1.38,25.6,10.7
sample_478,1.5,22.1,6.7
sample_479,1.9,2.4,3.4
sample_480,3.44,23.1,1.8
sample_481,1.69,10.9,5.8
sample_482,2.41,20.2,8.6
sample_483,4.33,24.3,11.0
sample_484,4.04,21.7,8.0
sample_485,1.3,14.5,11.0
sample_486,3.86,19.5,5.9
sample_487,0.63,5.4,6.4
sample_488,3.38,4.1,8.5
sample_489,2.03,6.5,10.2
sample_490,0.68,2.0,1.9
sample_491,2.21,17.4,5.9
sample_492,4.43,26.1,10.3
sample_493,2.03,13.9,8.7
sample_494,3.53,10.1,7.1
sample_495,1.46,13.9,7.9
sample_496,4.48,20.8,5.1
sample_497,3.71,11.2,5.1
sample_498,2.21,16.2,2.1
sample_499,4.67,20.8,10.0
sample_500,3.93,13.0,6.5
sample_501,5.41,25.1,2.7
sample_502,2.85,6.4,10.2
sample_503,2.4,5.6,1.8
sample_504,3.38,23.0,0.3
sample_505,1.22,9.1,1.5
sample_506,2.16,6.1,7.0
sample_507,5.41,10.4,0.9
sample_508,2.76,8.0,6.9
sample_509,5.6,21.2,6.3
sample_510,3.78,21.0,3.1
sample_511,0.97,11.2,9.0
sample_512,4.82,8.4,4.0
sample_513,2.16,8.1,4.6
sample_514,1.89,12.3,5.1
sample_515,1.18,22.5,10.7
sample_516,3.41,7.2,7.2
sample_517,2.57,5.5,4.9
sample_518,3.49,4.8,8.3
sample_519,3.19,5.0,1.0
sample_520,5.48,15.3,8.3
sample_521,1.39,14.6,4.6
sample_522,2.62,19.1,6.4
sample_523,5.62,21.9,8.9
sample_524,4.73,22.7,7.8
sample_525,4.57,24.9,6.6
sample_526,0.58,15.0,0.5
sample_527,3.04,13.4,7.9
