file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000001.spc,392.062,101.649,1625.990,55.3309,0.0000,13.3117,-1.9321
spect_000002.spc,18.448,35.767,2100.652,0.0000,0.0000,18.8247,0.1411
spect_000003.spc,30.536,59.203,3477.075,0.0000,0.0000,31.1594,-1.2402
spect_000004.spc,90.029,39.460,1426.342,11.3512,0.0000,12.5236,-0.4298
spect_000005.spc,206.535,472.115,118.816,28.3415,10.5947,0.0000,0.2564
spect_000006.spc,168.004,315.847,89.960,23.3408,6.9400,0.0000,0.3036
spect_000007.spc,450.069,127.216,2554.370,62.6325,0.0000,21.4650,-4.2254
spect_000008.spc,265.595,106.391,3553.318,34.3292,0.0000,31.0612,-3.1228
spect_000009.spc,62.110,48.359,2364.798,6.0551,0.0000,21.0540,0.1066
spect_000010.spc,141.027,82.997,3618.277,16.0011,0.0000,32.0605,-4.9242
spect_000011.spc,141.592,291.109,105.652,19.5331,6.4518,0.2466,0.3824
spect_000012.spc,24.147,32.463,1811.912,1.2060,0.0000,16.2098,-0.0602
spect_000013.spc,373.015,114.259,2693.390,51.1682,0.0000,22.9718,-2.7245
spect_000014.spc,398.990,95.302,1122.745,56.9929,0.0000,8.7641,-1.9414
spect_000015.spc,351.869,110.906,2744.845,48.0049,0.0000,23.5049,-1.0016
spect_000016.spc,247.326,52.476,264.777,35.8834,0.0000,1.5560,0.3444
spect_000017.spc,278.401,68.088,887.250,39.6340,0.0000,7.0488,-1.1737
spect_000018.spc,255.309,98.759,3186.349,33.2946,0.0000,27.7962,-2.3120
spect_000019.spc,172.525,77.267,2841.128,21.6140,0.0000,24.9684,-1.3615
spect_000020.spc,262.753,69.095,659.097,37.6048,0.1864,5.0431,0.1785
spect_000021.spc,338.067,94.501,1849.622,47.1351,0.0000,15.5023,-1.7552
spect_000022.spc,365.064,83.344,775.476,52.4707,0.0000,5.7550,-0.0933
spect_000023.spc,140.082,82.218,3579.533,15.9125,0.0000,31.7153,-2.0782
spect_000024.spc,157.677,297.063,620.664,21.2473,6.3266,4.8278,0.2748
spect_000025.spc,52.818,43.385,2158.729,4.9592,0.0000,19.2323,-4.4028
spect_000026.spc,17.472,68.145,1875.150,0.0000,0.8878,16.7688,0.2645
spect_000027.spc,204.532,78.776,2530.285,26.7017,0.0000,22.0671,-0.3944
spect_000028.spc,18.486,35.841,2104.981,0.0000,0.0000,18.8635,-0.6409
spect_000029.spc,215.950,51.315,590.253,30.8693,0.0000,4.5868,0.1494
spect_000030.spc,204.374,85.370,2963.079,26.1218,0.0000,25.9587,-3.8866
spect_000031.spc,18.685,38.679,2119.389,0.0000,0.0636,18.9901,0.2420
spect_000032.spc,329.621,98.141,2195.460,45.4531,0.0000,18.6397,-2.6430
spect_000033.spc,249.354,84.165,2309.098,33.5509,0.0000,19.9290,-5.2537
spect_000034.spc,388.115,86.151,664.043,55.9901,0.0000,4.6763,-0.2124
spect_000035.spc,149.482,45.549,1063.762,20.5252,0.0000,9.0656,-1.2174
spect_000036.spc,410.680,82.736,152.281,59.9533,0.0000,0.0000,-0.3856
spect_000037.spc,328.535,93.753,1922.706,45.6450,0.0000,16.1911,-0.5312
spect_000038.spc,388.399,119.517,2840.110,53.2328,0.0000,24.2396,-5.2797
spect_000039.spc,179.997,90.805,3629.929,21.6938,0.0000,32.0354,-4.6845
spect_000040.spc,346.267,98.034,1975.582,48.1739,0.0000,16.6074,-0.6372
spect_000041.spc,279.676,109.347,3566.376,36.3747,0.0000,31.1317,-2.1941
spect_000042.spc,264.915,67.121,996.574,37.5183,0.0000,8.0767,-0.2366
spect_000043.spc,176.673,91.093,3691.277,21.1281,0.0000,32.5980,-5.3656
spect_000044.spc,24.576,47.647,2798.389,0.0000,0.0000,25.0774,-1.4152
spect_000045.spc,165.163,88.368,3660.491,19.4818,0.0000,32.3596,-0.6637
spect_000046.spc,173.203,53.287,1265.825,23.7396,0.0000,10.8032,-0.1597
spect_000047.spc,286.783,93.404,2433.928,38.8722,0.0000,20.9265,-3.1104
spect_000048.spc,136.431,57.357,2002.079,17.4068,0.0000,17.5452,-2.5553
spect_000049.spc,296.480,109.692,3373.950,39.0834,0.0000,29.3456,-5.4939
spect_000050.spc,247.265,79.310,2018.645,33.6185,0.0000,17.3246,-2.5475
spect_000051.spc,361.523,101.279,1992.417,50.3868,0.0000,16.7079,-0.6653
spect_000052.spc,310.103,62.473,114.987,45.2705,0.0000,0.0000,0.2921
spect_000053.spc,425.431,137.477,267.864,61.7605,1.2344,0.9457,0.3828
spect_000054.spc,249.761,103.395,3560.146,32.0013,0.0000,31.1754,-4.3069
spect_000055.spc,250.909,97.337,205.002,36.3009,1.1110,0.9668,0.3435
spect_000056.spc,283.429,60.255,311.251,41.1113,0.0000,1.8535,0.1380
spect_000057.spc,238.826,366.997,119.839,33.5247,7.8476,0.0000,0.3829
spect_000058.spc,9.510,18.438,1082.871,0.0000,0.0000,9.7040,-2.8671
spect_000059.spc,429.248,86.476,159.166,62.6639,0.0000,0.0000,0.4890
spect_000060.spc,59.788,28.137,1073.434,7.3760,0.0000,9.4516,-0.9364
spect_000061.spc,414.589,95.618,943.878,59.5076,0.0000,7.1039,-0.8594
spect_000062.spc,466.540,139.006,3113.896,64.3253,0.0000,26.4406,-3.8131
spect_000063.spc,376.937,124.428,3307.592,50.9526,0.0000,28.4808,-3.0748
spect_000064.spc,92.145,152.577,47.314,12.8885,3.2980,0.0000,0.3972
spect_000065.spc,415.229,104.156,1493.450,58.8944,0.0000,12.0428,-2.9943
spect_000066.spc,156.293,58.229,1805.017,20.5693,0.0000,15.7072,-5.5490
spect_000067.spc,40.180,69.123,4001.836,0.7374,0.0000,35.8452,-1.5025
spect_000068.spc,413.529,100.719,1290.687,58.9063,0.0000,10.2255,-2.9900
spect_000069.spc,358.218,118.056,3130.725,48.4386,0.0000,26.9530,-3.3016
spect_000070.spc,403.129,104.318,1658.823,56.9096,0.0000,13.5700,-1.6135
spect_000071.spc,464.903,136.940,2999.864,64.2322,0.0000,25.4209,-4.8491
spect_000072.spc,303.396,68.637,603.418,43.6600,0.0000,4.4137,0.2301
spect_000073.spc,287.543,77.626,1393.451,40.3219,0.0000,11.5694,-2.0397
spect_000074.spc,165.044,34.668,153.838,23.9749,0.0000,0.8329,-0.1939
spect_000075.spc,467.592,94.201,173.384,68.2616,0.0000,0.0000,-0.1411
spect_000076.spc,358.293,72.733,168.899,52.2591,0.0000,0.3241,-0.5315
spect_000077.spc,32.236,62.498,3670.630,0.0000,0.0000,32.8939,-3.4137
spect_000078.spc,393.737,94.329,1126.403,56.2188,0.0000,8.8145,-2.3498
spect_000079.spc,89.894,38.208,1346.329,11.4344,0.0000,11.8047,-0.2052
spect_000080.spc,33.861,56.404,3251.678,0.7769,0.0000,29.1218,-0.0656
spect_000081.spc,190.801,58.108,1355.693,26.2013,0.0000,11.5525,-5.2083
spect_000082.spc,331.733,70.092,242.508,48.2686,0.0353,1.0731,0.3822
spect_000083.spc,412.495,113.501,2138.917,57.6638,0.0000,17.8551,-4.5099
spect_000084.spc,355.151,88.057,1210.156,50.4597,0.0000,9.6961,-2.7610
spect_000085.spc,52.297,59.544,3221.021,3.5165,0.0000,28.7847,-4.0603
spect_000086.spc,140.905,48.038,1336.033,18.9188,0.0000,11.5421,-5.5950
spect_000087.spc,314.847,114.790,3472.079,41.6473,0.0000,30.1666,-2.6112
spect_000088.spc,397.065,102.746,1633.673,56.0538,0.0000,13.3641,-0.9287
spect_000089.spc,17.232,417.622,680.101,0.0000,9.9533,5.7004,0.5032
spect_000090.spc,93.193,76.750,3822.032,8.7332,0.0000,34.0519,-3.2473
spect_000091.spc,270.481,69.757,1097.568,38.2036,0.0000,8.9661,-0.9347
spect_000092.spc,397.847,89.058,729.466,57.3314,0.0000,5.2320,-0.0051
spect_000093.spc,19.270,35.519,2073.929,0.1547,0.0000,18.5817,-2.6496
spect_000094.spc,212.953,70.507,1882.368,28.7684,0.0000,16.2138,-0.6018
