file,latitude,longitude,elevation,K_percent,U_ppm,Th_ppm,K_from_PADK,K_from_PADU,K_from_PADTh,U_from_PADK,U_from_PADU,U_from_PADTh,Th_from_PADK,Th_from_PADU,Th_from_PADTh,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000001.spc,53.2646180000,-9.0530240000,59.6,3.697,21.174,85.984,2.4163,0.5518,0.7290,0.4868,19.2743,1.4133,0.8960,2.0845,83.0039,0.3527,0.4716,0.7438,0.9999
spect_000002.spc,53.2641970000,-9.0467960000,41.5,3.720,20.981,73.238,2.5515,0.5517,0.6166,0.5140,19.2716,1.1954,0.9461,2.0842,70.2076,0.3725,0.4715,0.6292,0.9999
spect_000003.spc,53.2646810000,-9.0421140000,47.1,3.918,21.777,79.888,2.6738,0.5706,0.6740,0.5387,19.9312,1.3066,0.9915,2.1555,76.7415,0.3903,0.4877,0.6877,1.0000
spect_000004.spc,53.2629600000,-9.0584260000,46.8,4.242,23.842,77.415,2.9630,0.6294,0.6493,0.5969,21.9859,1.2589,1.0987,2.3777,73.9389,0.4326,0.5379,0.6626,0.9999
spect_000005.spc,53.2660220000,-9.0597020000,59.2,3.916,23.661,74.608,2.6634,0.6273,0.6257,0.5366,21.9117,1.2132,0.9876,2.3697,71.2506,0.3888,0.5361,0.6385,0.9999
spect_000006.spc,53.2632720000,-9.0510280000,47.8,4.367,24.116,77.610,3.0803,0.6365,0.6504,0.6206,22.2342,1.2610,1.1422,2.4046,74.0633,0.4497,0.5440,0.6637,0.9998
spect_000007.spc,53.2645470000,-9.0490870000,61.3,3.973,21.734,74.754,2.7732,0.5713,0.6285,0.5587,19.9572,1.2186,1.0283,2.1583,71.5674,0.4048,0.4883,0.6413,0.9999
spect_000008.spc,53.2695340000,-9.0583330000,43.1,4.033,23.838,73.544,2.7851,0.6322,0.6158,0.5611,22.0826,1.1940,1.0327,2.3882,70.1227,0.4066,0.5403,0.6284,0.9997
spect_000009.spc,53.2656400000,-9.0466000000,56.7,3.853,22.565,73.978,2.6355,0.5963,0.6213,0.5310,20.8299,1.2046,0.9773,2.2527,70.7485,0.3847,0.5097,0.6340,0.9999
spect_000010.spc,53.2742210000,-9.0465670000,57.8,4.275,22.159,71.984,3.0892,0.5831,0.6028,0.6223,20.3685,1.1686,1.1455,2.2028,68.6362,0.4510,0.4984,0.6151,0.9997
spect_000011.spc,53.2680230000,-9.0401870000,36.1,3.746,21.733,79.034,2.5082,0.5707,0.6670,0.5053,19.9345,1.2931,0.9300,2.1559,75.9482,0.3662,0.4878,0.6806,0.9999
spect_000012.spc,53.2603420000,-9.0595070000,54.7,4.212,23.345,82.233,2.9068,0.6131,0.6924,0.5856,21.4171,1.3424,1.0778,2.3162,78.8393,0.4243,0.5240,0.7065,0.9999
spect_000013.spc,53.2648450000,-9.0425590000,41.0,3.785,24.798,73.900,2.5049,0.6611,0.6189,0.5046,23.0934,1.1999,0.9288,2.4975,70.4735,0.3657,0.5650,0.6315,0.9999
spect_000014.spc,53.2662580000,-9.0535350000,45.0,3.958,21.273,75.970,2.7609,0.5576,0.6397,0.5562,19.4771,1.2402,1.0238,2.1064,72.8397,0.4031,0.4766,0.6527,1.0000
spect_000015.spc,53.2621250000,-9.0483240000,40.0,3.938,24.233,74.463,2.6704,0.6437,0.6239,0.5380,22.4852,1.2096,0.9902,2.4317,71.0415,0.3898,0.5502,0.6366,1.0000
spect_000016.spc,53.2660970000,-9.0469330000,50.0,4.559,22.269,72.297,3.3697,0.5845,0.6046,0.6788,20.4184,1.1721,1.2495,2.2082,68.8390,0.4919,0.4996,0.6169,0.9999
spect_000017.spc,53.2774760000,-9.0519520000,64.8,4.116,24.028,77.846,2.8274,0.6353,0.6534,0.5696,22.1913,1.2667,1.0484,2.3999,74.3972,0.4128,0.5430,0.6667,1.0000
spect_000018.spc,53.2763240000,-9.0560360000,45.3,4.054,22.568,78.822,2.7977,0.5931,0.6634,0.5636,20.7185,1.2863,1.0374,2.2407,75.5443,0.4084,0.5069,0.6770,0.9999
spect_000019.spc,53.2773620000,-9.0404480000,61.4,4.551,24.172,78.561,3.2559,0.6367,0.6582,0.6559,22.2397,1.2761,1.2073,2.4052,74.9485,0.4753,0.5442,0.6716,0.9999
spect_000020.spc,53.2628340000,-9.0575450000,35.4,4.169,23.095,78.468,2.9013,0.6078,0.6595,0.5845,21.2314,1.2786,1.0758,2.2961,75.0960,0.4235,0.5195,0.6730,1.0000
spect_000021.spc,53.2622840000,-9.0564010000,55.7,4.104,23.828,82.745,2.7800,0.6274,0.6968,0.5600,21.9168,1.3510,1.0308,2.3702,79.3438,0.4058,0.5363,0.7110,0.9999
spect_000022.spc,53.2624640000,-9.0401550000,47.1,3.832,23.902,79.033,2.5347,0.6327,0.6648,0.5106,22.1027,1.2890,0.9399,2.3904,75.7026,0.3700,0.5408,0.6784,0.9999
spect_000023.spc,53.2773430000,-9.0403240000,51.5,3.970,24.868,76.383,2.6685,0.6610,0.6402,0.5376,23.0890,1.2412,0.9895,2.4970,72.8962,0.3896,0.5649,0.6533,1.0000
spect_000024.spc,53.2797740000,-9.0492960000,63.8,4.494,23.204,80.572,3.2086,0.6082,0.6770,0.6464,21.2454,1.3125,1.1898,2.2976,77.0851,0.4684,0.5198,0.6908,0.9998
spect_000025.spc,53.2692170000,-9.0428420000,40.0,3.767,23.409,73.817,2.5264,0.6212,0.6194,0.5090,21.6991,1.2009,0.9368,2.3467,70.5334,0.3688,0.5309,0.6321,1.0000
spect_000026.spc,53.2661910000,-9.0547410000,51.4,4.110,22.385,77.805,2.8674,0.5880,0.6545,0.5777,20.5385,1.2688,1.0632,2.2212,74.5208,0.4186,0.5025,0.6678,1.0000
spect_000027.spc,53.2652110000,-9.0475450000,55.4,3.777,22.972,80.715,2.4912,0.6055,0.6806,0.5019,21.1505,1.3196,0.9237,2.2874,77.5036,0.3637,0.5175,0.6945,1.0000
spect_000028.spc,53.2605530000,-9.0510940000,44.9,4.460,24.515,81.724,3.1281,0.6457,0.6861,0.6302,22.5551,1.3302,1.1599,2.4393,78.1251,0.4567,0.5519,0.7001,0.9999
spect_000029.spc,53.2622380000,-9.0432620000,42.4,4.164,25.463,75.574,2.8543,0.6774,0.6319,0.5750,23.6623,1.2252,1.0584,2.5590,71.9562,0.4167,0.5790,0.6448,1.0000
spect_000030.spc,53.2705880000,-9.0528050000,47.1,4.057,22.833,75.077,2.8240,0.6024,0.6302,0.5689,21.0419,1.2217,1.0471,2.2756,71.7538,0.4123,0.5148,0.6430,0.9999
spect_000031.spc,53.2613680000,-9.0551420000,59.2,4.633,23.717,78.455,3.3526,0.6231,0.6574,0.6754,21.7674,1.2746,1.2431,2.3541,74.8579,0.4894,0.5326,0.6708,0.9999
spect_000032.spc,53.2657770000,-9.0513320000,53.8,4.549,23.169,78.217,3.2854,0.6079,0.6560,0.6619,21.2347,1.2719,1.2182,2.2965,74.7024,0.4796,0.5196,0.6694,0.9995
spect_000033.spc,53.2766010000,-9.0551870000,55.2,4.056,25.876,78.854,2.7069,0.6885,0.6608,0.5453,24.0497,1.2812,1.0037,2.6009,75.2489,0.3952,0.5884,0.6743,0.9999
spect_000034.spc,53.2713020000,-9.0539130000,64.1,4.223,23.179,73.302,2.9967,0.6122,0.6137,0.6037,21.3855,1.1898,1.1112,2.3128,69.8785,0.4375,0.5233,0.6262,1.0000
spect_000035.spc,53.2673240000,-9.0597330000,57.3,4.101,23.202,74.027,2.8669,0.6132,0.6204,0.5776,21.4212,1.2029,1.0631,2.3167,70.6474,0.4185,0.5241,0.6331,0.9998
spect_000036.spc,53.2686460000,-9.0447690000,62.9,4.176,22.518,77.754,2.9310,0.5915,0.6537,0.5905,20.6604,1.2673,1.0868,2.2344,74.4327,0.4279,0.5055,0.6670,0.9999
spect_000037.spc,53.2635460000,-9.0446770000,62.9,4.372,25.043,71.680,3.1089,0.6658,0.5973,0.6263,23.2585,1.1580,1.1528,2.5154,68.0123,0.4539,0.5691,0.6095,0.9999
spect_000038.spc,53.2617720000,-9.0584810000,62.7,4.126,23.116,79.445,2.8498,0.6082,0.6682,0.5741,21.2459,1.2956,1.0567,2.2977,76.0909,0.4160,0.5198,0.6819,0.9999
spect_000039.spc,53.2636770000,-9.0528070000,45.9,4.407,24.186,77.257,3.1209,0.6385,0.6471,0.6287,22.3025,1.2547,1.1572,2.4120,73.6882,0.4556,0.5457,0.6603,0.9999
spect_000040.spc,53.2648790000,-9.0530750000,60.9,4.059,24.690,70.179,2.8159,0.6581,0.5853,0.5673,22.9883,1.1348,1.0441,2.4861,66.6489,0.4111,0.5625,0.5973,0.9998
spect_000041.spc,53.2651450000,-9.0439770000,43.1,4.040,23.555,74.077,2.7955,0.6237,0.6208,0.5632,21.7879,1.2035,1.0366,2.3563,70.6840,0.4081,0.5331,0.6334,0.9998
spect_000042.spc,53.2744700000,-9.0528330000,47.5,4.087,24.287,72.423,2.8364,0.6453,0.6054,0.5714,22.5423,1.1737,1.0518,2.4379,68.9335,0.4141,0.5516,0.6177,0.9997
spect_000043.spc,53.2604020000,-9.0501990000,36.6,4.340,23.515,71.922,3.1172,0.6218,0.6008,0.6280,21.7221,1.1649,1.1559,2.3492,68.4170,0.4551,0.5315,0.6131,0.9999
spect_000044.spc,53.2659840000,-9.0519070000,46.8,4.516,23.403,73.021,3.2885,0.6171,0.6101,0.6625,21.5578,1.1828,1.2194,2.3314,69.4704,0.4801,0.5275,0.6226,0.9998
spect_000045.spc,53.2791110000,-9.0484740000,37.2,4.368,24.904,82.648,3.0171,0.6570,0.6942,0.6078,22.9506,1.3459,1.1187,2.4821,79.0472,0.4404,0.5616,0.7084,0.9999
spect_000046.spc,53.2606930000,-9.0401390000,50.0,4.163,23.520,78.343,2.8850,0.6202,0.6580,0.5812,21.6630,1.2758,1.0698,2.3428,74.9300,0.4212,0.5300,0.6715,0.9999
spect_000047.spc,53.2651940000,-9.0566060000,40.7,4.574,23.501,70.031,3.3695,0.6210,0.5834,0.6788,21.6912,1.1312,1.2494,2.3459,66.4353,0.4919,0.5307,0.5954,1.0000
spect_000048.spc,53.2652030000,-9.0480170000,37.0,4.795,25.300,74.695,3.5026,0.6695,0.6224,0.7056,23.3875,1.2066,1.2988,2.5293,70.8669,0.5113,0.5722,0.6351,1.0000
spect_000049.spc,53.2662090000,-9.0427010000,55.4,4.073,26.029,72.434,2.7729,0.6956,0.6040,0.5586,24.2994,1.1711,1.0282,2.6279,68.7779,0.4048,0.5946,0.6163,0.9998
spect_000050.spc,53.2706500000,-9.0431660000,39.4,4.539,26.346,76.122,3.2034,0.7005,0.6348,0.6454,24.4697,1.2308,1.1878,2.6463,72.2878,0.4676,0.5987,0.6478,1.0000
spect_000051.spc,53.2707680000,-9.0443500000,57.6,4.567,24.549,80.131,3.2487,0.6467,0.6717,0.6545,22.5920,1.3023,1.2046,2.4433,76.4832,0.4743,0.5528,0.6854,0.9998
spect_000052.spc,53.2630680000,-9.0564830000,48.6,4.528,25.247,78.039,3.2075,0.6680,0.6527,0.6462,23.3353,1.2655,1.1894,2.5237,74.3264,0.4682,0.5710,0.6661,1.0000
spect_000053.spc,53.2706890000,-9.0499830000,63.3,4.649,25.340,77.055,3.3347,0.6705,0.6436,0.6718,23.4207,1.2478,1.2365,2.5329,73.2857,0.4868,0.5731,0.6567,0.9999
spect_000054.spc,53.2798500000,-9.0522720000,61.3,4.414,24.286,74.117,3.1517,0.6427,0.6193,0.6349,22.4505,1.2007,1.1687,2.4280,70.5203,0.4601,0.5493,0.6320,1.0000
spect_000055.spc,53.2670850000,-9.0598190000,59.7,4.714,25.524,77.796,3.3894,0.6751,0.6498,0.6828,23.5818,1.2598,1.2568,2.5503,73.9893,0.4948,0.5770,0.6630,1.0000
spect_000056.spc,53.2696940000,-9.0415710000,46.1,4.410,24.026,77.331,3.1286,0.6338,0.6479,0.6303,22.1396,1.2562,1.1601,2.3943,73.7770,0.4567,0.5417,0.6611,0.9999
spect_000057.spc,53.2762600000,-9.0423850000,37.3,4.245,26.554,80.537,2.8639,0.7062,0.6745,0.5770,24.6690,1.3078,1.0619,2.6679,76.8075,0.4181,0.6036,0.6883,0.9999
spect_000058.spc,53.2679660000,-9.0442520000,43.5,4.066,24.519,79.328,2.7508,0.6491,0.6662,0.5542,22.6735,1.2916,1.0200,2.4521,75.8557,0.4016,0.5548,0.6798,0.9999
spect_000059.spc,53.2639300000,-9.0529940000,57.6,4.564,25.804,79.822,3.2129,0.6831,0.6679,0.6473,23.8621,1.2949,1.1913,2.5806,76.0503,0.4690,0.5839,0.6815,0.9998
spect_000060.spc,53.2755610000,-9.0423510000,48.6,4.643,23.721,73.067,3.4074,0.6256,0.6098,0.6864,21.8520,1.1823,1.2635,2.3633,69.4404,0.4974,0.5347,0.6223,0.9999
spect_000061.spc,53.2682310000,-9.0435850000,52.7,4.583,24.620,78.426,3.2773,0.6495,0.6565,0.6602,22.6865,1.2729,1.2152,2.4535,74.7572,0.4784,0.5551,0.6699,1.0000
spect_000062.spc,53.2720710000,-9.0581720000,47.6,4.424,26.118,71.371,3.1339,0.6967,0.5935,0.6314,24.3356,1.1506,1.1621,2.6318,67.5767,0.4575,0.5954,0.6056,0.9998
spect_000063.spc,53.2634390000,-9.0574020000,42.6,4.751,26.380,74.148,3.4327,0.7011,0.6167,0.6916,24.4923,1.1957,1.2729,2.6488,70.2268,0.5011,0.5993,0.6293,0.9999
spect_000064.spc,53.2636700000,-9.0470350000,36.3,4.557,24.697,78.273,3.2497,0.6519,0.6552,0.6547,22.7719,1.2703,1.2050,2.4627,74.6049,0.4744,0.5572,0.6686,0.9999
spect_000065.spc,53.2705240000,-9.0597020000,48.8,4.510,24.134,78.365,3.2171,0.6359,0.6566,0.6481,22.2130,1.2731,1.1929,2.4023,74.7694,0.4696,0.5435,0.6700,0.9999
spect_000066.spc,53.2734510000,-9.0492500000,36.3,4.436,25.896,71.132,3.1542,0.6903,0.5915,0.6354,24.1134,1.1468,1.1696,2.6078,67.3547,0.4605,0.5900,0.6036,0.9997
spect_000067.spc,53.2663260000,-9.0440930000,57.7,4.782,25.176,73.447,3.5042,0.6666,0.6115,0.7060,23.2846,1.1856,1.2994,2.5182,69.6295,0.5116,0.5697,0.6240,1.0000
spect_000068.spc,53.2782250000,-9.0461940000,43.7,4.445,25.693,78.961,3.1033,0.6810,0.6608,0.6252,23.7870,1.2811,1.1507,2.5725,75.2382,0.4530,0.5820,0.6742,0.9999
spect_000069.spc,53.2678770000,-9.0585630000,46.5,4.385,24.461,75.778,3.1039,0.6472,0.6339,0.6253,22.6068,1.2290,1.1509,2.4449,72.1823,0.4531,0.5531,0.6469,1.0000
spect_000070.spc,53.2690170000,-9.0544270000,44.6,5.039,26.877,72.943,3.7194,0.7144,0.6048,0.7493,24.9549,1.1725,1.3792,2.6988,68.8652,0.5430,0.6106,0.6171,0.9999
spect_000071.spc,53.2684620000,-9.0556750000,49.5,4.487,24.444,73.852,3.2239,0.6469,0.6166,0.6495,22.5988,1.1955,1.1954,2.4440,70.2130,0.4706,0.5529,0.6292,1.0000
spect_000072.spc,53.2628840000,-9.0485140000,44.4,4.541,27.165,70.411,3.2303,0.7266,0.5837,0.6508,25.3823,1.1317,1.1978,2.7450,66.4687,0.4716,0.6210,0.5957,1.0000
spect_000073.spc,53.2716210000,-9.0471220000,51.7,4.338,27.496,69.724,3.0225,0.7376,0.5780,0.6089,25.7660,1.1206,1.1207,2.7865,65.8167,0.4412,0.6304,0.5898,0.9999
spect_000074.spc,53.2749190000,-9.0483400000,58.7,4.425,28.599,68.829,3.0865,0.7694,0.5689,0.6218,26.8747,1.1029,1.1445,2.9064,64.7778,0.4506,0.6576,0.5805,0.9999
spect_000075.spc,53.2766530000,-9.0503990000,62.0,4.290,25.861,71.584,3.0040,0.6899,0.5960,0.6052,24.1002,1.1555,1.1139,2.6064,67.8642,0.4385,0.5897,0.6082,0.9996
spect_000076.spc,53.2722700000,-9.0402910000,46.8,4.950,27.869,70.139,3.6258,0.7447,0.5795,0.7305,26.0151,1.1234,1.3445,2.8135,65.9808,0.5293,0.6365,0.5913,0.9999
spect_000077.spc,53.2631860000,-9.0484300000,63.5,4.675,27.042,73.790,3.3405,0.7208,0.6132,0.6730,25.1802,1.1889,1.2387,2.7232,69.8284,0.4877,0.6161,0.6258,1.0000
spect_000078.spc,53.2781000000,-9.0420480000,56.9,4.466,27.926,70.727,3.1307,0.7489,0.5861,0.6307,26.1589,1.1363,1.1609,2.8290,66.7367,0.4570,0.6401,0.5981,0.9998
spect_000079.spc,53.2608900000,-9.0599110000,55.4,4.724,27.665,73.868,3.3723,0.7385,0.6132,0.6794,25.7967,1.1889,1.2505,2.7899,69.8280,0.4923,0.6312,0.6258,1.0000
spect_000080.spc,53.2629130000,-9.0452760000,47.4,4.750,26.709,70.529,3.4532,0.7122,0.5845,0.6957,24.8797,1.1332,1.2805,2.6907,66.5575,0.5041,0.6088,0.5964,0.9999
spect_000081.spc,53.2770220000,-9.0499770000,45.1,4.679,25.136,71.882,3.4139,0.6667,0.5980,0.6878,23.2887,1.1595,1.2659,2.5186,68.0971,0.4984,0.5698,0.6102,0.9999
spect_000082.spc,53.2634720000,-9.0517770000,55.2,4.848,26.077,72.801,3.5512,0.6925,0.6048,0.7154,24.1894,1.1726,1.3168,2.6160,68.8686,0.5184,0.5919,0.6172,0.9999
spect_000083.spc,53.2776830000,-9.0431070000,38.7,4.939,27.819,76.574,3.5626,0.7405,0.6363,0.7177,25.8677,1.2337,1.3210,2.7975,72.4556,0.5201,0.6329,0.6493,0.9999
spect_000084.spc,53.2690240000,-9.0433380000,54.5,4.763,25.283,76.318,3.4573,0.6685,0.6368,0.6965,23.3515,1.2346,1.2820,2.5254,72.5109,0.5047,0.5714,0.6498,1.0000
spect_000085.spc,53.2780700000,-9.0425010000,64.9,4.802,26.888,81.785,3.4061,0.7122,0.6835,0.6862,24.8766,1.3252,1.2630,2.6904,77.8319,0.4972,0.6087,0.6975,0.9997
spect_000086.spc,53.2720010000,-9.0497400000,44.9,4.828,27.782,77.740,3.4410,0.7396,0.6470,0.6932,25.8341,1.2544,1.2760,2.7939,73.6704,0.5023,0.6321,0.6602,1.0000
