file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000001.spc,201.031,691.376,2402.937,23.8404,15.1636,20.3904,1.0000
spect_000002.spc,65.049,1170.844,2858.205,1.3005,27.4653,24.4960,1.0000
spect_000003.spc,36.083,492.568,2348.212,0.4287,11.0802,20.5946,1.0000
spect_000004.spc,197.874,680.425,2366.047,23.4653,14.9228,20.0778,1.0000
spect_000005.spc,41.007,741.612,1797.520,0.8107,17.4023,15.4005,1.0000
spect_000006.spc,32.046,438.986,2083.253,0.3772,9.8790,18.2689,1.0000
spect_000007.spc,90.935,312.958,1083.522,10.7873,6.8658,9.1924,1.0000
spect_000008.spc,31.081,561.880,1364.830,0.6125,13.1836,11.6946,1.0000
spect_000009.spc,24.876,340.644,1615.460,0.2954,7.6663,14.1664,1.0000
spect_000010.spc,127.215,436.315,1518.035,15.0946,9.5672,12.8812,1.0000
spect_000011.spc,58.877,1064.439,2582.282,1.1638,24.9766,22.1250,1.0000
spect_000012.spc,43.485,595.524,2830.332,0.5083,13.4001,24.8213,1.0000
spect_000013.spc,123.384,423.875,1464.652,14.6465,9.2992,12.4236,1.0000
spect_000014.spc,25.053,450.949,1102.202,0.4992,10.5777,9.4469,1.0000
spect_000015.spc,24.262,330.858,1582.375,0.2854,7.4405,13.8791,1.0000
spect_000016.spc,101.203,349.434,1203.021,12.0043,7.6702,10.2037,1.0000
spect_000017.spc,31.434,565.492,1375.483,0.6367,13.2669,11.7862,0.9999
spect_000018.spc,38.652,528.400,2508.809,0.4642,11.8903,22.0008,1.0000
spect_000019.spc,102.326,351.772,1221.201,12.1378,7.7155,10.3618,1.0000
spect_000020.spc,40.080,724.237,1758.424,0.7930,16.9933,15.0668,1.0000
spect_000021.spc,26.176,356.243,1705.165,0.3133,8.0106,14.9562,1.0000
spect_000022.spc,116.488,399.879,1384.570,13.8270,8.7713,11.7455,1.0000
spect_000023.spc,23.886,429.888,1046.693,0.4812,10.0852,8.9694,0.9999
spect_000024.spc,43.494,594.101,2835.943,0.5086,13.3629,24.8731,1.0000
spect_000025.spc,192.646,660.621,2296.108,22.8619,14.4863,19.4821,1.0000
spect_000026.spc,53.164,960.670,2332.801,1.0515,22.5408,19.9884,1.0000
spect_000027.spc,42.385,578.288,2757.664,0.5056,13.0080,24.1857,1.0000
spect_000028.spc,206.588,708.018,2461.209,24.5196,15.5249,20.8828,1.0000
spect_000029.spc,28.045,505.133,1232.293,0.5593,11.8497,10.5610,1.0000
spect_000030.spc,39.757,542.982,2588.574,0.4697,12.2143,22.7027,1.0000
spect_000031.spc,171.355,587.456,2042.005,20.3363,12.8816,17.3261,1.0000
spect_000032.spc,31.311,565.581,1374.352,0.6195,13.2701,11.7764,0.9999
spect_000033.spc,41.832,572.784,2716.619,0.4969,12.8905,23.8227,1.0000
spect_000034.spc,102.966,353.419,1230.115,12.2145,7.7497,10.4385,1.0000
spect_000035.spc,63.053,1136.634,2764.796,1.2605,26.6670,23.6914,1.0000
spect_000036.spc,38.955,533.248,2537.083,0.4544,11.9977,22.2502,1.0000
spect_000037.spc,89.326,307.117,1065.595,10.5963,6.7364,9.0412,1.0000
spect_000038.spc,49.656,894.555,2180.715,0.9909,20.9856,18.6884,1.0000
spect_000039.spc,37.869,517.494,2458.754,0.4546,11.6442,21.5623,1.0000
spect_000040.spc,217.675,749.432,2597.233,25.8166,16.4408,22.0359,1.0000
spect_000041.spc,43.992,795.483,1928.434,0.8702,18.6662,16.5223,1.0000
spect_000042.spc,56.316,769.268,3671.196,0.6593,17.3032,32.1986,1.0000
spect_000043.spc,127.706,437.865,1524.906,15.1521,9.6004,12.9401,1.0000
spect_000044.spc,43.121,776.221,1891.700,0.8654,18.2096,16.2113,1.0000
spect_000045.spc,27.382,375.469,1777.800,0.3235,8.4513,15.5894,1.0000
spect_000046.spc,100.238,342.274,1197.212,11.8984,7.5006,10.1607,1.0000
spect_000047.spc,30.592,551.098,1342.874,0.6114,12.9285,11.5080,1.0000
spect_000048.spc,25.628,350.196,1669.654,0.3009,7.8776,14.6435,1.0000
spect_000049.spc,157.754,542.343,1885.127,18.7097,11.8946,15.9963,1.0000
spect_000050.spc,50.124,898.791,2196.478,1.0233,21.0817,18.8251,1.0000
spect_000051.spc,31.273,428.537,2032.011,0.3688,9.6445,17.8192,1.0000
spect_000052.spc,148.962,511.828,1777.889,17.6707,11.2254,15.0855,1.0000
spect_000053.spc,22.921,413.549,999.424,0.4636,9.7050,8.5613,0.9999
spect_000054.spc,25.358,346.410,1646.111,0.3054,7.7945,14.4357,1.0000
spect_000055.spc,98.147,336.784,1170.114,11.6462,7.3856,9.9282,1.0000
spect_000056.spc,32.629,588.133,1431.252,0.6520,13.7982,12.2646,0.9999
spect_000057.spc,66.473,910.062,4322.042,0.7838,20.4787,37.9025,1.0000
spect_000058.spc,228.883,786.045,2735.878,27.1480,17.2368,23.2166,1.0000
spect_000059.spc,22.670,409.324,993.973,0.4507,9.6041,8.5167,1.0000
spect_000060.spc,54.239,739.470,3529.680,0.6483,16.6322,30.9572,1.0000
spect_000061.spc,172.220,590.593,2052.537,20.4380,12.9508,17.4154,1.0000
spect_000062.spc,22.871,412.651,1004.189,0.4542,9.6813,8.6051,1.0000
spect_000063.spc,46.765,641.537,3042.450,0.5439,14.4383,26.6803,1.0000
spect_000064.spc,124.485,426.830,1484.966,14.7718,9.3590,12.6004,1.0000
spect_000065.spc,22.832,411.353,1005.219,0.4524,9.6491,8.6157,1.0000
spect_000066.spc,29.497,404.596,1910.243,0.3539,9.1090,16.7496,1.0000
spect_000067.spc,194.773,668.396,2326.497,23.1063,14.6562,19.7421,1.0000
spect_000068.spc,42.129,759.348,1851.525,0.8375,17.8137,15.8676,1.0000
spect_000069.spc,37.584,514.572,2444.251,0.4424,11.5790,21.4351,1.0000
spect_000070.spc,171.847,591.298,2047.715,20.3862,12.9718,17.3725,1.0000
spect_000071.spc,57.076,1027.503,2500.734,1.1492,24.1057,21.4290,1.0000
spect_000072.spc,62.273,851.124,4057.069,0.7301,19.1463,35.5819,1.0000
spect_000073.spc,168.961,580.850,2007.437,20.0531,12.7434,17.0282,1.0000
spect_000074.spc,25.254,456.173,1106.970,0.5016,10.7037,9.4846,1.0000
spect_000075.spc,40.782,557.532,2651.648,0.4840,12.5442,23.2545,1.0000
spect_000076.spc,105.103,359.295,1250.887,12.4797,7.8764,10.6136,1.0000
spect_000077.spc,39.878,718.647,1751.837,0.7941,16.8590,15.0130,0.9999
spect_000078.spc,58.119,794.794,3775.597,0.6928,17.8842,33.1104,1.0000
spect_000079.spc,103.038,353.314,1226.993,12.2293,7.7479,10.4103,1.0000
spect_000080.spc,29.142,525.859,1279.567,0.5784,12.3374,10.9648,0.9999
spect_000081.spc,59.217,810.622,3848.311,0.7009,18.2416,33.7477,1.0000
spect_000082.spc,178.225,611.345,2126.551,21.1470,13.4054,18.0445,1.0000
spect_000083.spc,61.920,1119.585,2713.935,1.2257,26.2715,23.2521,1.0000
spect_000084.spc,28.228,385.448,1830.303,0.3431,8.6733,16.0507,1.0000
spect_000085.spc,114.277,392.726,1365.974,13.5534,8.6126,11.5914,1.0000
spect_000086.spc,61.032,1098.757,2667.906,1.2362,25.7798,22.8589,0.9999
spect_000087.spc,26.330,360.851,1712.847,0.3078,8.1205,15.0208,1.0000
spect_000088.spc,194.815,672.628,2322.734,23.0998,14.7617,19.7044,1.0000
spect_000089.spc,24.814,445.855,1085.201,0.5056,10.4597,9.2991,0.9999
spect_000090.spc,43.811,597.723,2844.602,0.5298,13.4474,24.9468,1.0000
spect_000091.spc,89.422,307.933,1066.772,10.6056,6.7556,9.0508,1.0000
spect_000092.spc,48.607,876.245,2133.633,0.9689,20.5571,18.2840,1.0000
spect_000093.spc,27.882,381.576,1818.375,0.3226,8.5841,15.9478,1.0000
spect_000094.spc,91.245,313.543,1088.090,10.8250,6.8770,9.2320,1.0000
spect_000095.spc,42.079,757.011,1847.265,0.8449,17.7579,15.8314,1.0000
spect_000096.spc,24.286,332.340,1577.591,0.2888,7.4787,13.8346,1.0000
spect_000097.spc,111.982,384.931,1339.641,13.2794,8.4415,11.3684,1.0000
spect_000098.spc,52.895,952.350,2320.289,1.0612,22.3417,19.8839,0.9999
spect_000099.spc,37.113,506.037,2416.623,0.4417,11.3813,21.1954,1.0000
spect_000100.spc,104.128,357.733,1239.277,12.3567,7.8469,10.5136,1.0000
spect_000101.spc,30.045,541.686,1318.645,0.5988,12.7083,11.2999,0.9999
spect_000102.spc,38.672,529.059,2514.869,0.4570,11.9042,22.0548,1.0000
spect_000103.spc,140.773,483.735,1681.297,16.6977,10.6089,14.2665,1.0000
spect_000104.spc,33.901,611.193,1487.959,0.6757,14.3390,12.7508,1.0000
spect_000105.spc,23.920,326.552,1554.873,0.2863,7.3464,13.6363,1.0000
spect_000106.spc,142.137,488.333,1695.774,16.8621,10.7102,14.3884,1.0000
spect_000107.spc,27.480,495.230,1204.463,0.5506,11.6188,10.3209,1.0000
spect_000108.spc,26.258,358.988,1706.597,0.3124,8.0773,14.9664,1.0000
spect_000109.spc,166.225,570.650,1983.996,19.7205,12.5141,16.8348,1.0000
spect_000110.spc,42.480,767.277,1858.598,0.8482,18.0047,15.9231,1.0000
spect_000111.spc,28.473,389.929,1855.253,0.3305,8.7732,16.2706,1.0000
spect_000112.spc,112.909,386.735,1348.209,13.3981,8.4783,11.4410,1.0000
spect_000113.spc,43.065,777.207,1885.206,0.8611,18.2366,16.1521,1.0000
spect_000114.spc,37.682,514.184,2454.815,0.4454,11.5650,21.5303,1.0000
spect_000115.spc,107.419,369.697,1279.716,12.7431,8.1107,10.8567,1.0000
spect_000116.spc,63.950,1150.338,2796.609,1.2977,26.9884,23.9629,1.0000
spect_000117.spc,31.214,426.006,2034.483,0.3674,9.5815,17.8439,1.0000
spect_000118.spc,212.905,730.354,2540.298,25.2618,16.0151,21.5552,1.0000
spect_000119.spc,36.175,652.359,1589.061,0.7187,15.3045,13.6176,1.0000
spect_000120.spc,33.657,458.234,2189.282,0.4061,10.3056,19.2015,1.0000
spect_000121.spc,142.571,490.201,1697.864,16.9158,10.7534,14.4042,1.0000
spect_000122.spc,51.598,929.211,2258.035,1.0408,21.8012,19.3479,1.0000
spect_000123.spc,40.897,559.137,2660.511,0.4836,12.5798,23.3326,1.0000
spect_000124.spc,209.029,719.187,2499.582,24.7864,15.7740,21.2107,1.0000
spect_000125.spc,58.672,1058.561,2573.530,1.1683,24.8361,22.0520,1.0000
spect_000126.spc,24.843,338.730,1614.969,0.2989,7.6194,14.1637,1.0000
spect_000127.spc,117.008,401.328,1394.558,13.8855,8.8007,11.8325,1.0000
spect_000128.spc,54.769,986.018,2405.167,1.0957,23.1305,20.6125,1.0000
spect_000129.spc,63.083,859.061,4100.688,0.7636,19.3216,35.9651,1.0000
