file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000001.spc,173.765,598.073,2067.945,20.6161,13.1219,17.5426,1.0000
spect_000002.spc,44.783,808.885,1965.445,0.8866,18.9788,16.8412,1.0000
spect_000003.spc,46.701,638.415,3041.972,0.5478,14.3618,26.6789,1.0000
spect_000004.spc,70.070,610.170,1504.497,5.9860,14.1330,12.7863,1.0000
spect_000005.spc,115.866,1204.439,279.697,11.8021,29.0209,1.0883,1.0000
spect_000006.spc,91.463,880.125,282.452,9.5295,21.1443,1.4767,1.0000
spect_000007.spc,188.902,331.905,2830.750,22.9987,6.2009,24.5983,1.0000
spect_000008.spc,151.884,714.672,3545.323,15.1098,15.5439,30.8114,1.0000
spect_000009.spc,94.052,1173.537,2440.064,6.0723,27.5495,20.6369,1.0000
spect_000010.spc,84.724,160.900,3249.554,7.8430,2.3309,28.8496,1.0000
spect_000011.spc,89.143,939.428,555.548,8.6115,22.5141,3.8907,1.0000
spect_000012.spc,53.435,666.132,1757.608,2.9980,15.4970,15.0685,1.0000
spect_000013.spc,182.771,747.684,2981.880,20.2131,16.4211,25.6112,1.0000
spect_000014.spc,160.198,337.551,1577.119,20.2827,6.9515,13.3961,1.0000
spect_000015.spc,197.737,1218.881,3162.297,20.2721,27.8943,26.7722,1.0000
spect_000016.spc,116.453,662.728,766.587,13.5048,15.4830,5.9490,1.0000
spect_000017.spc,122.390,450.154,1255.240,14.6491,10.0307,10.5179,1.0000
spect_000018.spc,150.605,829.874,3266.322,14.7926,18.4947,28.2015,1.0000
spect_000019.spc,121.311,864.075,2878.384,10.8137,19.6253,24.7708,1.0000
spect_000020.spc,137.641,941.656,1205.441,14.9490,22.0898,9.5872,1.0000
spect_000021.spc,162.840,719.439,2222.965,18.3220,16.1074,18.8658,1.0000
spect_000022.spc,165.934,778.900,1386.299,19.5587,17.8737,11.2700,1.0000
spect_000023.spc,110.425,732.884,3415.072,9.0896,16.2420,29.7535,1.0000
spect_000024.spc,111.299,1211.900,1091.487,10.1058,28.9206,8.4057,1.0000
spect_000025.spc,38.981,74.849,1893.173,3.1180,0.9424,16.8571,1.0000
spect_000026.spc,52.744,926.555,1838.943,1.7333,21.8883,15.5730,1.0000
spect_000027.spc,145.134,1201.918,2777.117,13.0663,27.8753,23.4853,1.0000
spect_000028.spc,43.118,527.026,1927.244,1.8391,12.0543,16.7514,1.0000
spect_000029.spc,113.588,773.099,1037.487,12.3007,18.1149,8.2998,1.0000
spect_000030.spc,114.270,455.154,2882.386,11.4417,9.5792,25.1903,1.0000
spect_000031.spc,59.832,985.807,2072.460,2.2494,23.2264,17.6009,1.0000
spect_000032.spc,158.751,628.886,2478.885,17.7764,13.7987,21.2630,1.0000
spect_000033.spc,113.104,206.549,2325.559,12.9666,3.6676,20.3998,1.0000
spect_000034.spc,167.287,655.308,1286.323,20.3850,14.8587,10.4747,1.0000
spect_000035.spc,80.281,455.293,1232.264,8.4552,10.3692,10.4396,1.0000
spect_000036.spc,148.886,262.500,457.215,20.2938,5.5788,3.4144,1.0000
spect_000037.spc,178.499,1119.362,2404.492,18.7729,25.8202,20.0975,1.0000
spect_000038.spc,164.711,211.050,2945.390,19.7895,3.2957,25.8138,1.0000
spect_000039.spc,103.866,285.978,3356.118,10.0207,5.2811,29.6382,1.0000
spect_000040.spc,184.197,1103.753,2468.718,19.5970,25.3837,20.6716,1.0000
spect_000041.spc,167.542,950.175,3657.379,16.3170,21.2305,31.5628,1.0000
spect_000042.spc,133.391,771.932,1434.197,14.7363,17.8409,11.8103,1.0000
spect_000043.spc,96.257,132.426,3353.618,9.5303,1.5342,29.7753,1.0000
