file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000001.spc,399.709,100.804,1473.031,56.6476,0.0000,11.9110,-1.7891
spect_000002.spc,17.582,34.087,2001.983,0.0000,0.0000,17.9405,0.1443
spect_000003.spc,30.132,58.419,3431.016,0.0000,0.0000,30.7466,-1.3697
spect_000004.spc,89.520,37.737,1320.336,11.4130,0.0000,11.5722,-0.4102
spect_000005.spc,213.380,547.467,128.610,29.0298,12.4151,0.0000,-0.0438
spect_000006.spc,173.530,370.372,97.249,23.9229,8.2544,0.0000,0.0392
spect_000007.spc,459.339,127.380,2446.450,64.1291,0.0000,20.4639,-4.3118
spect_000008.spc,268.575,105.154,3434.399,34.9186,0.0000,29.9821,-3.4273
spect_000009.spc,59.199,54.428,2192.222,5.8128,0.2288,19.5040,0.0626
spect_000010.spc,141.862,83.216,3621.927,16.1187,0.0000,32.0906,-5.7658
spect_000011.spc,145.344,345.065,84.872,19.8907,7.7714,0.0000,0.3280
spect_000012.spc,21.572,30.534,1718.818,0.9487,0.0000,15.3814,-0.0515
spect_000013.spc,379.641,113.158,2536.758,52.3402,0.0000,21.5415,-2.7621
spect_000014.spc,407.518,95.187,1006.180,58.3919,0.0000,7.6877,-1.7924
spect_000015.spc,355.642,108.090,2512.599,48.8563,0.0000,21.4043,-0.9454
spect_000016.spc,252.901,64.839,106.146,36.8480,0.3377,0.0991,0.3450
spect_000017.spc,284.263,67.408,767.836,40.6462,0.0000,5.9557,-0.9947
spect_000018.spc,258.318,97.128,3041.299,33.9220,0.0000,26.4821,-2.4439
spect_000019.spc,172.357,75.191,2707.651,21.7611,0.0000,23.7690,-1.4099
spect_000020.spc,268.658,112.141,457.368,38.5455,1.2950,3.1700,0.1556
spect_000021.spc,343.988,93.213,1689.799,48.2078,0.0000,14.0456,-1.6612
spect_000022.spc,372.970,81.857,577.205,53.8837,0.0000,3.9461,0.0256
spect_000023.spc,139.619,80.735,3488.553,15.9617,0.0000,30.8989,-2.2949
spect_000024.spc,160.242,360.156,394.392,21.6442,7.9546,2.7266,0.2496
