file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
sample_000.csv,1.2,21.0,0.2,6.02,31.32,0.63,0.968733
sample_001.csv,2.09,19.1,7.3,10.47,28.45,20.92,0.969808
sample_002.csv,2.15,4.4,6.1,10.74,6.53,17.43,0.959554
sample_003.csv,3.62,4.3,4.7,18.09,6.37,13.49,0.965879
sample_004.csv,3.41,20.0,4.3,17.07,29.83,12.28,0.953115
sample_005.csv,4.48,17.8,4.0,22.4,26.64,11.39,0.956739
sample_006.csv,2.12,21.3,1.6,10.61,31.73,4.68,0.960371
sample_007.csv,0.95,22.0,5.0,4.73,32.9,14.27,0.977777
sample_008.csv,2.96,25.4,6.9,14.78,37.92,19.85,0.963175
sample_009.csv,5.11,12.3,2.6,25.55,18.32,7.52,0.973751
sample_010.csv,3.06,16.1,7.4,15.32,24.0,21.22,0.958129
sample_011.csv,5.22,16.4,6.1,26.12,24.44,17.3,0.955399
sample_012.csv,3.71,19.9,10.6,18.57,29.74,30.33,0.9618
sample_013.csv,0.44,3.4,6.0,2.22,5.05,17.26,0.986183
sample_014.csv,1.56,4.2,8.2,7.81,6.34,23.42,0.975756
sample_015.csv,3.28,12.5,8.8,16.38,18.6,25.04,0.958299
sample_016.csv,3.79,23.3,4.4,18.96,34.77,12.51,0.952766
sample_017.csv,2.63,7.3,3.3,13.14,10.89,9.35,0.956135
sample_018.csv,1.31,21.0,5.2,6.55,31.41,14.78,0.974633
sample_019.csv,5.64,6.8,10.6,28.19,10.2,30.24,0.957649
