Sample_ID,Easting_ING,Northing_ING,Na2O_%_XRFS,MgO_%_XRFS,Al2O3_%_XRFS,SiO2_%_XRFS,P2O5_%_XRFS,S_mgkg_XRFS,Cl_mgkg_XRFS,K2O_%_XRFS,CaO_%_XRFS,TiO2_%_XRFS,MnO_%_XRFS,Fe2O3_%_XRFS,Sc_mgkg_XRFS,V_mgkg_XRFS,Cr_mgkg_XRFS,Co_mgkg_XRFS,Ni_mgkg_XRFS,Cu_mgkg_XRFS,Zn_mgkg_XRFS,Ga_mgkg_XRFS,Ge_mgkg_XRFS,As_mgkg_XRFS,Se_mgkg_XRFS,Br_mgkg_XRFS,Rb_mgkg_XRFS,Sr_mgkg_XRFS,Y_mgkg_XRFS,Zr_mgkg_XRFS,Nb_mgkg_XRFS,Mo_mgkg_XRFS,Nd_mgkg_XRFS,Sm_mgkg_XRFS,Yb_mgkg_XRFS,Hf_mgkg_XRFS,Ta_mgkg_XRFS,W_mgkg_XRFS,Hg_mgkg_XRFS,Tl_mgkg_XRFS,Pb_mgkg_XRFS,Bi_mgkg_XRFS,Th_mgkg_XRFS,U_mgkg_XRFS,Ag_mgkg_XRFS,Cd_mgkg_XRFS,In_mgkg_XRFS,Sn_mgkg_XRFS,Sb_mgkg_XRFS,Te_mgkg_XRFS,I_mgkg_XRFS,Cs_mgkg_XRFS,Ba_mgkg_XRFS,La_mgkg_XRFS,Ce_mgkg_XRFS,Au_µgkg_FA_ICPMS,Pd_µgkg_FA_ICPMS,Pt_µgkg_FA_ICPMS
584501C,251230,432606,1.3,2.6,16.8,55.1,0.31,500,100,2.732,0.94,1.096,0.365,8.99,16.4,136.3,92.9,43.66,48.4,43.56,116.5,18.8,1.2,4.5,0.6,12.2,79.7,119.2,28.8,762.1,18,0.8,36.6,2.8,1.27,17.8,0.4,1.9,,0.25,15.1,1.4,9.4,2.3,0.25,0.3,0.3,2.4,0.5,0.6,6.6,3,569,40,78,7.3,3.32,1.35
584502C,242442,430867,1.1,1.7,11.7,44.2,0.3,174,41,2.116,0.7,0.687,1.877,11.05,12.8,89.6,67.8,64.41,29.4,16.72,124.3,14.6,0.25,18.3,0.5,37.9,66.7,118.4,22,514.9,14.3,0.8,35.8,5,0.58,10.4,1.8,0.7,,0.7,31.6,1.5,9.1,1.7,0.25,0.2,0.1,1.9,0.4,0.25,21,2,612,41,79,1.6,0.79,0.68
584504C,250274,431477,1.7,3.4,16.3,58.2,0.42,500,100,2.409,1.1,1.099,0.187,8.59,19.2,127.1,109.4,38.58,57.6,55.07,131.1,17.2,0.8,8.1,0.5,20.3,69.1,129,32.4,1093,18.5,0.9,39.2,1.4,3.35,24.6,1.3,1.9,,0.1,22.4,1.3,10.4,3.4,0.25,0.8,0.25,2,0.4,0.5,9,2,492,42,82,3.9,2.36,1.57
584506C,241526,429154,1.9,2.2,14.3,63.5,0.26,500,100,2.158,0.57,0.84,0.209,5.85,13.2,82.1,73.6,30.04,29.8,26.31,65.5,14.8,1,6.5,0.3,6.4,64,118.3,26,454.7,17.5,0.6,32.4,4.4,2.2,10.2,0.2,1.8,,0.3,17.2,0.7,9.3,2.6,0.25,0.1,0.25,1.8,0.3,0.1,2.4,2,418,42,77,2,1.23,0.89
584507C,239251,421085,1.3,1.8,16.6,52.3,0.34,59,100,2.743,0.8,0.993,0.274,7.17,16,109.3,88.9,116.4,74.7,86.96,146.6,19,0.1,11.5,1.2,34.3,90.7,150.5,46.3,775.1,18.8,0.8,71.5,9.7,4.85,18.3,0.5,2.6,,0.8,38,1,11,3.6,0.25,1.7,0.25,3.4,0.4,0.25,8.2,3,628,76,188,3.3,1.68,1.23
584508C,240432,425018,1.9,2.6,17.5,57.6,0.21,500,100,2.649,0.61,0.904,0.797,7.38,16.3,110.9,88.1,100.83,79.1,34.08,189.4,18.8,0.4,3.4,0.6,15.6,81.8,145.2,28.9,655.1,18.9,0.7,38.6,4.5,3.12,14.2,0.6,2.4,,0.25,18.8,1.6,10.6,3,0.25,0.4,0.25,3.8,0.1,0.25,9.2,2,578,46,94,1.5,1.07,0.95
584509C,228750,427710,0.9,1.9,14.4,56.3,0.27,500,100,3.337,1.02,0.799,0.968,8.16,12.2,85.7,57.8,58.36,52.1,33.57,155.7,16.8,0.25,27.4,1,17.1,100.2,89,32.2,638.8,12.9,1.5,41.2,6.6,3.12,13.9,0.5,1.6,,0.25,45.4,0.8,10.4,3.9,0.25,0.3,0.25,2.2,0.4,0.25,26.1,3,748,46,88,3,1.52,1.13
584510C,250277,431583,1.7,3.3,15.9,58.2,0.28,500,100,2.367,0.87,1.017,0.469,8.03,17.8,119.7,102.8,54.47,90.5,57.89,135.3,17.7,0.9,3.8,0.6,11.9,70.8,118.6,29.6,797.5,17.7,0.8,39.4,4.5,3.12,17.1,0.5,2.1,,0.4,18.5,1.4,9.1,3.1,0.25,0.6,0.25,2.2,0.8,0.2,7,2,512,41,79,2.8,1.78,1.18
584511C,226611,430312,1.3,3.1,14.8,54.1,0.17,500,100,2.951,1.81,0.858,1.668,8.76,12.1,92,56.7,66.25,52,35.59,212.6,17.1,0.6,15.2,0.8,28.5,91.5,268.9,33.5,347.2,14.1,1.5,43.3,3.4,1.16,9.3,0.5,1.4,,0.25,23.2,1,11.2,2.7,0.5,0.1,0.25,2.7,0.4,0.25,13.1,3,838,52,109,2.4,1.46,0.91
584513C,223947,420916,1,1.6,13,58,0.54,3503,7,2.596,0.68,0.587,0.071,5.76,9.9,60.1,51.8,20.75,26.2,39.12,129.8,14.8,0.5,10.5,1,12.9,78.8,105.9,26.8,546.9,11.4,1.7,34.6,2.3,2.66,12.8,0.5,1.8,,0.5,25.9,0.15,10.1,6.1,0.25,0.2,0.25,6.1,0.6,0.25,4.3,2,414,41,78,3.1,0.94,0.58
584516C,248068,438191,1.5,1.7,21.1,57.4,0.26,500,100,3.723,0.56,0.938,0.291,7.55,15.4,115.2,104.7,37.28,62.2,47.6,132.8,22.3,0.7,198.8,0.4,22.7,118.1,163.2,36.8,411.6,21.3,0.9,55.1,7.5,4.16,9.9,0.5,3.9,,0.6,78,0.6,15.6,2.8,0.25,0.3,0.25,3.7,0.6,0.2,5.4,3,551,83,154,26.7,1.43,1.13
584517C,247769,429425,2,2.9,16.5,63.2,0.29,500,100,2.43,0.77,1.082,0.213,7.25,16,112.9,91.3,31.12,48.2,45.48,117.8,17.6,0.4,4.2,0.2,4.4,73.6,120.3,32.6,1093.4,20.3,0.8,43.9,5,5.32,26,0.2,2.2,,0.2,18.2,0.7,11.3,2.9,0.25,0.2,0.25,3.2,0.5,0.25,1.8,2,497,48,89,2.1,1.73,1.34
584518C,245122,434065,1.3,1.7,15,48.4,0.26,500,100,2.471,0.54,0.786,1.298,11.58,10.8,86.7,71.2,65.49,44.3,25,149.2,17.1,0.4,42.1,0.3,22.4,81.9,129.9,28.4,401.9,18.9,0.7,45.3,3.3,0.23,9.6,0.5,1.1,,0.2,22.4,0.7,10.5,2,0.25,0.25,0.25,2.6,0.8,0.3,14.1,2,590,56,108,3,1.02,0.89
584519C,247823,437556,2,2.6,15.5,62.8,0.1,500,100,2.513,1.27,0.83,0.124,6.77,14.3,110,92.7,15.23,29.2,18.74,89.7,18.2,1.4,6.8,0.1,6.9,69.4,139,23.4,730.6,15.4,0.5,29.1,3.1,1.85,18.1,0.3,1.4,,0.25,15,0.8,11.2,2.4,0.25,0.1,0.2,2.6,0.4,0.1,1.6,2,593,39,76,1.4,0.56,0.44
584520C,245931,432900,1.6,1.7,19.2,57,0.19,500,100,3.118,0.32,0.804,0.644,8.64,13.8,97.7,77.5,48.96,41.4,26.01,122.1,21.5,0.1,26,0.2,9.8,102.7,154.4,30.9,380.7,21.9,0.7,43.2,6.1,1.62,9.6,0.6,2,,0.4,19.6,0.7,12.3,2.7,0.25,0.4,0.3,2.5,1.7,0.4,4.3,2,588,61,112,16,0.82,0.58
584521C,308362,315807,1.7,1.5,12.4,48.9,0.25,500,66,3.035,1.93,1.19,0.982,10.29,16.7,82.2,31.4,29.82,12.9,21.16,224.4,17.4,0.6,7.1,0.7,46.8,120.2,104.7,59.2,572.5,35.4,3.2,53.5,6.9,5.55,13.2,1.3,3.9,,1.2,56.3,0.7,18.2,7.2,0.25,1,0.25,4.9,0.9,0.25,14.5,6,624,62,174,1.2,0.25,0.15
584522C,248837,436777,1.1,3.2,15.6,48.8,0.29,500,100,3.254,1.05,1.056,0.921,12.26,19.8,155.7,99.6,61.92,52,33.78,160.6,19.4,0.8,31.8,0.3,33,103,93.1,22.9,423.8,17.1,1.1,31.6,1,1.96,10.1,0.5,1,,0.25,26.9,1.4,8.2,1.7,0.2,0.4,0.2,2,0.8,0.4,13.7,3,773,31,72,2.4,2.05,1.16
584523C,242385,429993,1.4,2.6,15.8,52.3,0.29,500,100,2.722,0.95,0.845,0.616,9.61,16.2,104,85.7,35.23,40.6,26.41,131.4,18.2,0.3,21.9,0.2,27.6,85.1,146.4,27.9,678.8,18.5,0.7,41.5,2.8,3.58,14.6,1,1.4,,0.25,22.9,1.1,11.3,2.9,0.25,0.2,0.25,2.5,0.4,0.25,11.8,2,622,49,92,5.1,0.89,0.67
584525C,244655,426744,1.8,3.1,14.8,55.6,0.29,282,100,2.252,1.37,0.928,1.369,8.53,16.9,111.5,92.8,136.72,65.8,39.63,145.4,16.4,0.25,7.1,0.6,16.3,68.5,169.5,29.6,658,14.8,1.3,43,7.6,3.47,14.5,0.5,1.6,,0.1,18.6,0.6,8.4,2.5,0.25,0.8,0.25,2.7,0.4,0.1,9.2,2,571,46,92,2.4,1.91,1.76
584526C,225419,434431,1.5,2.7,13,55.8,0.18,500,100,2.283,2.03,1.105,1.133,10.55,15.1,124.4,50.1,74.68,40.3,44.27,188.8,15.8,0.5,11,0.7,16,70.8,176.2,33,543.9,14.6,1.8,44.9,4.5,0.75,11.6,0.6,2.3,,0.4,23.1,1,9.3,2.7,0.4,0.6,0.25,2,0.8,0.1,7.9,2,897,44,90,9.4,2.45,1.73
584527C,223600,436292,1.6,3.3,14.3,69,0.16,500,100,2.941,1.04,0.965,0.205,6.06,13.7,94.8,107.3,19.45,43.5,31.96,79.5,16.2,0.4,7.9,0.3,10.4,90.8,121.4,25.1,562,13.9,0.4,31,5.4,3,13.4,0.1,1.8,,0.25,20.2,1.1,9.8,2.6,0.25,0.25,0.1,1.9,0.5,0.25,4.8,4,549,39,76,2.9,22.35,0.86
584528C,223401,436123,1.3,3.6,14.6,54.6,0.19,500,100,3.327,0.7,0.791,0.98,8.42,12.5,104.3,109.9,50.58,58.5,43.46,175.7,17,1.3,20.6,0.6,28.2,110.7,104.4,19.2,297.5,12.5,0.9,30.1,2.2,3,7.1,0.7,1.7,,0.3,28.1,0.15,7.7,2.1,0.25,0.6,0.25,5,1.1,0.25,10.8,6,760,29,62,6.6,1.56,0.68
584529C,252099,434236,1.3,1.8,20.5,55.6,0.24,500,100,3.431,0.47,1.014,0.169,8.72,14.9,123.3,94.8,30.69,39.5,24.09,103.3,23.3,0.8,6,0.6,6.4,112.8,149.6,27.3,634.2,19.7,0.7,41.5,2.9,2.77,15.6,1.3,1.8,,0.5,11.2,1.2,11,2.9,0.2,0.1,0.25,2.7,0.4,0.1,3.6,3,750,45,86,5.1,1.05,0.59
584530C,245836,432809,0.8,1,12.3,31.7,0.28,73,46,2.096,0.29,0.592,3.412,22.06,13,69.4,47.4,130.34,40.2,24.8,138.5,15.6,1.6,189.7,0.3,37.2,71.9,126.1,27,277,17.7,1.3,45.3,1.5,0.75,5.4,0.5,0.3,,0.25,22.5,1,9.5,1,0.1,0.2,0.25,2.6,1.9,0.25,21.8,2,544,58,110,2.4,0.78,0.6
584531C,248878,433715,1.4,2.3,18.5,52,0.25,500,100,2.983,0.69,0.866,1.103,9.49,18.2,115.6,85.8,68.19,85,40.23,216,22,0.7,21.4,0.5,20.7,98.6,169.3,32.4,500,21.6,0.7,42.5,3.8,1.62,10.4,0.1,1.7,,0.3,18.3,0.8,11.2,3.5,0.25,0.5,0.2,3.3,2.4,0.25,10.6,2,686,54,105,4.8,1.33,0.98
584532C,226993,435602,1.2,2.2,11.3,50.5,0.29,101,100,2.054,1.82,1.021,0.687,7.26,10.9,100.5,44.7,34.26,30.6,49.52,134.6,15.3,0.1,10.3,0.8,25.6,66.1,172.8,33.6,435.3,14.1,1.6,38.9,4.7,3.81,11.4,0.5,2.4,,0.2,24.4,1,10,3,0.25,0.6,0.25,5.2,0.2,0.25,10.2,2,579,42,81,2.9,2.19,1.17
584533C,248002,437208,1.3,3.9,15.8,49.4,0.22,500,100,3.275,0.82,0.932,0.395,13.12,19.3,146.5,117.4,45.06,56.1,36.1,123.7,19.4,0.4,10.5,0.3,11,93.3,81.1,23.6,388.9,15.9,0.8,38.8,3.3,0.75,8.9,0.5,0.8,,0.25,12.7,1.1,8.3,1.9,0.6,0.25,0.25,2.8,0.4,0.25,5.4,2,993,37,73,1.1,1.79,1.68
584534C,221226,421866,2.5,2.3,13.9,79.5,0.4,54,100,2.336,1.71,1.084,2.209,12.53,11.7,89.3,43.4,107.64,49.4,21.97,208.6,13.5,0.8,25.1,1,17.6,69.1,163.3,37,1389.6,17.3,2,42.2,1.5,1.73,31.5,0.4,1.8,,0.4,24.1,1.4,9.7,4.1,0.25,0.3,0.1,4.6,0.3,0.4,13.4,1,904,50,93,2.7,1.07,0.58
584535C,249120,431677,1.5,2.5,16.7,51.6,0.24,500,100,2.576,0.5,0.84,0.717,9.98,16.5,113.6,93.3,94.02,94.3,60.32,184.4,19,1.3,8.4,0.9,15.4,83.2,127,29.9,504.6,19.4,0.8,43,3.4,1.73,11.8,0.5,0.9,,0.5,17,1.5,10.3,2.9,0.1,0.6,0.25,3.6,0.2,0.25,6.3,3,607,52,98,1.8,1.4,1.24
584536C,222020,425753,1.2,1.9,11.9,58.7,0.22,52,100,2.377,0.85,0.699,0.35,5.98,10,60.5,47.7,24.31,22.8,21.06,99.8,13.2,0.7,11,0.7,19.7,73.9,146,31.1,562.6,13.6,1.2,39.8,7.1,2.77,12,0.5,2.4,,0.1,21.8,0.9,9.6,3.4,0.25,0.4,0.25,3.5,0.9,0.25,5.8,2,511,45,83,3.1,2.12,0.64
584537C,240004,424215,1.8,3.2,17.1,56.6,0.27,500,100,2.67,0.96,0.977,0.554,8.59,19.5,122.6,100.2,63.11,60.7,42.35,142.4,20.5,0.6,4,0.6,10.3,85.9,142.2,29.3,740.4,18.1,0.6,38.1,0.4,2.77,17,0.7,2.2,,0.25,20.6,1.2,9.2,2.5,0.25,0.4,0.25,4.5,0.1,0.25,7,3,635,42,82,1.8,1.82,1.31
584539C,242100,424741,2.1,2.9,14.3,63.7,0.31,500,100,1.981,1.21,1.089,0.206,7.21,16.4,111.8,89.6,25.61,43.9,59,97.2,16,0.8,2.7,0.9,26.1,60.3,141.8,29.3,1375.5,16.4,0.9,40.4,6.1,3.12,33.5,1.2,2.3,,0.25,20.8,1.6,9,3.3,0.25,0.2,0.25,2.8,0.4,0.2,8.4,1,440,41,86,12.5,2.36,1.53
584540C,249570,428659,1.4,1.6,21.6,58.5,0.29,500,100,3.838,0.72,1,0.414,7.78,15.6,126.7,101.3,47.44,45.4,35.59,118.7,22.1,0.9,14.9,0.4,12,127.6,199.8,32.2,580.1,20.3,0.5,43.1,5,3.47,13.3,0.9,2.1,,0.25,16.3,1.5,11.5,3,0.4,0.4,0.25,2.9,0.5,0.2,10.2,3,852,55,105,6.4,1.61,1
584543C,246355,424723,1.3,1.8,13.9,58.9,0.29,500,100,2.68,0.66,0.965,0.293,7.6,9,84.7,78.4,64.95,44.6,34.18,117.3,14.5,1,7.5,0.7,21.7,80.9,115.5,33.1,991.9,18.5,0.9,38.9,2.8,3.12,23.1,0.7,2.5,,0.9,18.3,1.1,9.7,2.9,0.25,0.25,0.25,2.4,0.7,0.3,9.4,2,550,41,78,2.5,1.07,0.74
584545C,225340,421881,1,1.6,13.9,58.9,0.34,500,100,2.993,0.83,0.632,1.425,6.79,9.7,65.7,48,57.49,47.2,22.27,132.8,15.6,0.1,23.8,0.8,17.9,92.2,111.4,29.7,669.5,12.2,1.3,38.2,3.2,1.62,16,1.1,1.8,,0.4,23.6,0.9,10.4,3.2,0.25,0.4,0.25,2.2,0.3,0.25,23,2,613,44,84,4.1,1.73,1.03
584546C,229653,428976,1.5,1.3,11.2,66.8,0.19,1044,100,2.19,1.57,0.807,0.199,5.17,7.6,52.5,48.4,19.67,25.2,22.68,79.3,12.2,0.2,6.6,0.5,11.7,64.8,169.9,27.8,705.9,13.5,0.9,39.2,7.2,2.89,16.2,0.1,1.5,,0.2,20.6,1.2,10.6,5,0.25,0.25,0.25,1.9,0.4,0.2,7.3,2,433,49,85,1.8,1,0.37
