Sample_ID,Easting_ING,Northing_ING,pH,SEC_µScm,HCO3_mgL,NPOC_mgL,Cl_mgL_IC,SO4_mgL_IC,NO3_mgL_IC,Br_mgL_IC,NO2_mgL_IC,HPO4_mgL_IC,F_mgL_IC,Li_µgL_ICPMS,Be_µgL_ICPMS,B_µgL_ICPMS,Na_mgL_ICPMS,Mg_mgL_ICPMS,Al_µgL_ICPMS,Si_µgL_ICPMS,P_mgL_ICPMS,S_mgL_ICPMS,K_mgL_ICPMS,Ca_mgL_ICPMS,Ti_µgL_ICPMS,V_µgL_ICPMS,Cr_µgL_ICPMS,Mn_µgL_ICPMS,Fe_µgL_ICPMS,Co_µgL_ICPMS,Ni_µgL_ICPMS,Cu_µgL_ICPMS,Zn_µgL_ICPMS,Ga_µgL_ICPMS,As_µgL_ICPMS,Se_µgL_ICPMS,Rb_µgL_ICPMS,Sr_µgL_ICPMS,Y_µgL_ICPMS,Zr_µgL_ICPMS,Nb_µgL_ICPMS,Mo_µgL_ICPMS,Ag_µgL_ICPMS,Cd_µgL_ICPMS,Sn_µgL_ICPMS,Sb_µgL_ICPMS,Cs_µgL_ICPMS,Ba_µgL_ICPMS,La_µgL_ICPMS,Ce_µgL_ICPMS,Pr_µgL_ICPMS,Nd_µgL_ICPMS,Sm_µgL_ICPMS,Eu_µgL_ICPMS,Tb_µgL_ICPMS,Gd_µgL_ICPMS,Dy_µgL_ICPMS,Ho_µgL_ICPMS,Er_µgL_ICPMS,Tm_µgL_ICPMS,Yb_µgL_ICPMS,Lu_µgL_ICPMS,Hf_µgL_ICPMS,Ta_µgL_ICPMS,W_µgL_ICPMS,Tl_µgL_ICPMS,Pb_µgL_ICPMS,Bi_µgL_ICPMS,Th_µgL_ICPMS,U_µgL_ICPMS
584501W,251230,432606,7.84,140,62.18,13.83,15.257,4.461,0.327,0.06,0.005,0.05,0.041,0.765,0.012,2.5,10.04,3.039,160.4,1532,0.0439,2.21,2.698,14.62,3.347,0.676,0.829,60.41,937.1,0.862,2.85,40.788,9.208,0.016,0.44,0.189,1.386,72.979,0.8194,0.447,0.01,0.087,0.025,0.0141,0.104,0.0612,0.0072,5.74,0.607,1.23,0.178,0.681,0.154,0.042,0.026,0.176,0.135,0.029,0.086,0.013,0.078,0.013,0.036,0.021,0.01,0.01,0.221,0.005,0.0551,0.057
584502W,242442,430867,5.18,67,0,20.81,13.659,1.085,0.025,0.02,0.005,0.35,0.011,0.683,0.009,2.5,7.96,1.787,123.5,705,0.0322,0.85,0.754,2.35,2.31,0.472,0.341,118.6,1286.6,0.672,0.76,0.443,4.033,0.015,0.42,0.106,0.271,15.944,0.2003,0.135,0.01,0.015,0.025,0.0137,0.093,0.0409,0.0058,3.06,0.16,0.508,0.046,0.163,0.039,0.012,0.008,0.042,0.033,0.009,0.024,0.005,0.023,0.006,0.018,0.023,0.01,0.011,0.618,0.005,0.0202,0.01
584504W,250274,431477,7.77,175,56.08,6.48,15.619,11.038,4.562,0.06,0.005,0.05,0.014,0.88,0.0088,2.5,11.47,4.129,82.2,2930,0.0447,4.62,2.519,17.86,1.716,0.585,0.852,52.7,321.5,0.607,2.31,4.207,2.238,0.005,0.42,0.152,1.395,85.281,0.3899,0.278,0.01,0.077,0.025,0.0213,0.101,0.0601,0.0046,9.93,0.245,0.46,0.068,0.269,0.066,0.021,0.014,0.077,0.064,0.016,0.048,0.009,0.046,0.01,0.018,0.001,0.01,0.005,0.166,0.005,0.0269,0.056
584506W,241526,429154,5.65,93,1.58,37.68,18.234,2.697,0.025,0.08,0.005,0.05,0.017,1.495,0.0289,2.5,11.95,1.745,510.6,1360,0.0716,1.66,1.957,2.9,5.235,1.092,0.817,952.91,4769.2,7.144,3.19,1.768,5.899,0.079,1.95,0.164,1.208,16.059,0.7702,0.734,0.02,0.062,0.025,0.0281,0.096,0.0691,0.006,2.86,0.573,1.727,0.169,0.631,0.144,0.031,0.024,0.151,0.123,0.028,0.085,0.014,0.085,0.015,0.028,0.028,0.01,0.005,1.215,0.005,0.0869,0.107
584507W,239251,421085,7.74,90,30.48,8.01,18.19,12.147,2.533,0.01,0.005,0.05,0.017,0.508,0.0086,2.5,11.05,2.526,83.2,1646,0.1132,4.96,5.696,18.64,2.761,0.44,0.586,16.17,255.7,0.452,3.06,6.019,13.468,0.005,0.6,0.199,2.557,91.157,0.5673,0.768,0.01,0.265,0.025,0.0221,0.151,0.1137,0.0091,32.75,0.786,1.245,0.21,0.813,0.163,0.034,0.022,0.155,0.098,0.021,0.06,0.01,0.057,0.012,0.145,0.035,0.03,0.005,0.256,0.005,0.0857,0.114
584508W,240432,425018,7.73,96,21.46,5.83,13.405,4.377,0.608,0.05,0.005,0.05,0.005,0.937,0.0082,2.5,9.38,1.891,103,1595,0.0082,1.9,0.73,7.01,0.987,0.195,0.402,52.75,471.8,1.155,2.67,1.767,2.61,0.005,0.27,0.104,0.591,33.092,0.2972,0.331,0.0005,0.032,0.025,0.0173,0.098,0.0366,0.0042,3.87,0.271,0.594,0.076,0.283,0.062,0.015,0.011,0.066,0.047,0.011,0.033,0.006,0.031,0.007,0.04,0.022,0.01,0.005,0.105,0.005,0.0393,0.038
584509W,228750,427710,7.37,185,49.99,9.72,20.81,8.652,0.756,0.09,0.005,0.05,0.005,0.657,0.0086,2.5,13.05,2.864,68.7,1726,0.0205,3.43,1.821,18.29,1.018,0.185,0.297,139.7,714,0.769,2.84,1.963,2.849,0.005,0.47,0.166,1.274,84.841,0.3122,0.362,0.01,0.095,0.025,0.0156,0.106,0.0398,0.0039,7.36,0.157,0.246,0.041,0.145,0.034,0.009,0.008,0.045,0.041,0.011,0.032,0.006,0.035,0.007,0.032,0.001,0.01,0.005,0.142,0.005,0.0385,0.173
584510W,250277,431583,7.52,123,17.68,8.34,13.448,14.46,0.396,0.05,0.005,0.05,0.024,1.206,0.0217,2.5,9.08,3.051,135.7,1488,0.0573,5.38,2.039,11.67,1.418,0.359,0.521,130.42,489.2,2.221,14.21,8.953,4.363,0.005,0.44,0.14,1.324,58.712,0.6931,0.433,0.01,0.13,0.025,0.0219,0.161,0.0724,0.004,4.06,0.247,0.517,0.079,0.323,0.083,0.027,0.019,0.117,0.111,0.024,0.075,0.011,0.068,0.012,0.035,0.022,0.01,0.005,0.13,0.005,0.0496,0.093
584511W,226611,430312,7.08,95,8.05,13.58,16.28,2.481,0.025,0.04,0.005,0.05,0.005,0.394,0.0094,2.5,10.09,1.431,150,1200,0.0091,1.25,0.668,5.19,2.32,0.226,0.311,49.37,682.8,0.307,1.73,1.516,2.68,0.005,0.37,0.109,1.312,31.049,0.5369,0.183,0.021,0.041,0.025,0.0054,0.092,0.0257,0.0058,2.74,0.631,0.97,0.145,0.513,0.094,0.018,0.015,0.1,0.075,0.016,0.05,0.007,0.043,0.008,0.017,0.001,0.01,0.005,0.124,0.005,0.0215,0.025
584513W,223947,420916,7.4,323,13.66,12.33,26.276,8.177,3.872,0.06,0.005,0.35,0.082,0.359,0.0092,2.5,16.2,5.266,86.9,1634,0.4285,3.96,9.683,36.07,1.983,0.584,0.483,137.22,450,0.706,2.76,4.831,3.392,0.014,1.43,0.236,6.19,174.122,0.4411,0.767,0.0259,0.436,0.025,0.015,0.125,0.1066,0.007,10.38,0.284,0.451,0.078,0.296,0.065,0.015,0.013,0.08,0.066,0.015,0.048,0.008,0.051,0.01,0.038,0.026,0.01,0.005,0.245,0.005,0.065,0.475
