layer,source_url,access_date,format,crs,count,coverage_pct_ireland,gate_result,cross_check_result,status,evidence_note
L1_eTh,edge-ai-agent-site/data/radiometrics/values.bin band 3 (genuine GSI Tellus airborne eTh),2026-09-13,binary float32 band3 630x495,EPSG:2157,311850 cells (153576 valid land),national (full island; sea=NaN),PASS,n/a (first layer),CONFIRMED,Genuine GSI Tellus eTh. Native 50m GSI ImageServer is token-gated (499 Token Required) -> verified from resampled project grid. eTh 0.003-14.94 ppm; interior holes 0.22% (no block gaps).
L2_eU,edge-ai-agent-site/data/radiometrics/values.bin band 1 (genuine GSI Tellus airborne eU),2026-09-13,binary float32 band1 630x495,EPSG:2157,311850 cells (153726 valid eU),national,PASS,PASS eU~eTh Spearman rho=0.746 / Pearson 0.715 positive,CONFIRMED,eU 0.0-4.47 ppm; same offshore mask as L1; positive correlation confirms no CRS/merge error.
L3_K_eThK,edge-ai-agent-site/data/radiometrics/values.bin band 0 (K) + eTh/K ratio computed,2026-09-13,binary float32 band0 + eTh/K ratio grid,EPSG:2157,311850 cells (153843 valid K); ratio n=153527 (K>0),national,PASS,n/a,CONFIRMED,K 0.0-3.92% (within 0-6%); eTh/K ratio 0 division-by-zero/inf artefacts (max 1169 legitimate extreme at low K).
L4_magnetics_TMI,GSI Geophysics IE_GSI_GSNI_Magnetic_Intensity_50m_IE32_ITM_GRID ImageServer,2026-09-13,(token-gated),EPSG:2157 IE32,-,-,n/a,n/a,BLOCKED,GSI ImageServer returns 499 Token Required for metadata+exportImage. No ROI magnetic REST service exists (only GSNI/NI MapServer rendered RGB). Barrier: needs GSI auth token or alternate mirror (BGS Tellus NI-border has magnetics; ROI interior gap remains).
L5_stream_sediment,gsi.geodata.gov.ie/downloads/Geochemistry/Data/GSI_Tellus_C_stream_sediment_geochemistry.zip (XLSX),2026-09-13,XLSX->CSV 8862 rows x59 cols,EPSG:2157 (ING/ITM),8862 samples,national (Tellus ROI/NI),PASS,n/a,CONFIRMED,Full REE+pathfinders: Y Zr Nb Nd Sm Yb Hf Ta W Th U La Ce + Au/Pd/Pt. Real point geochemistry.
L6_stream_water,gsi.geodata.gov.ie/downloads/Geochemistry/Data/GSI_Tellus_W_stream_water_geochemistry.zip (XLSX),2026-09-13,XLSX 6837 rows x71 cols,EPSG:2157,6837 samples,national,PASS,n/a,CONFIRMED,Complete REE suite La-Lu + Y Zr Th U (ICP-MS). Real point geochemistry.
L7_soil_xrfs,GSI FeatureServer IE_GSI_Geochemistry_Deeper_Topsoil_S_XRFS_IE26_ITM,2026-09-13,GeoJSON 5642 points,EPSG:2157,5642 points,national,PASS,n/a,CONFIRMED,Soil XRFS: La Ce Y Zr pathfinders + full major/trace suite. Real point data.
L8_bedrock_100k,gsi.geodata.gov.ie/downloads/Bedrock/Data/IE_GSI_Bedrock_Geology_Datasets_100K_IE26_ITM.zip,2026-09-13,ESRI Shapefile 68MB (polys+lines),EPSG:2157,1:100k bedrock polygons+lines,national,PASS,n/a,CONFIRMED,Authoritative GSI 1:100k bedrock geology. Real vector.
L9_quaternary,GSI FeatureServer IE_GSI_Quaternary_Sediments_50K_IE26_ITM,2026-09-13,GeoJSON 206336 polygons (547MB),EPSG:2157,206336 polygons,national,PASS,n/a,CONFIRMED,Quaternary sediment/geomorphology map. Real vector (large; reproduced via fetch script).
L10_mineral_locations,GSI FeatureServer IE_GSI_Mineral_Locations_IE26_ITM,2026-09-13,GeoJSON 7252 points,EPSG:2157,7252 points,national,PASS,n/a,CONFIRMED,MINERAL/MIN_TYPE fields incl. REE/Th/U/pegmatite/vein occurrences. Real point data.
L11_boreholes,GSI FeatureServer IE_GSI_MINERAL_EXPLORATION_BOREHOLES_50K_IE26_ITM,2026-09-13,GeoJSON 15055 points,EPSG:2157,15055 points,national,PASS,n/a,CONFIRMED,X_ITM Y_ITM BH_LEN_M DRILL_YEAR CURRENT_PL. Real mineral-exploration boreholes 1957-2002.
L12_mpm_soils_345k,CKAN 'Mineral Potential Mapping' -> Aggregate scores only,2026-09-13,SHP (aggregate potential),EPSG:2157,-,-,n/a,n/a,BLOCKED,"No public 'MPM soils 345k' dataset found on data.gov.ie; CKAN returns AGGREGATE (sand/gravel/crushed-rock) scores, not REE soil/geochem MPM. Proxy: L7 soil XRFS + L5/L6 stream. Barrier: specific GSI MPM soil product not openly published."
L13_mpm_lineaments,Derived from L4 magnetics,2026-09-13,-,-,-,-,n/a,n/a,BLOCKED,"Structural lineaments normally derived from magnetic TMI (L4). L4 is token-gated/ROI-missing, so lineaments cannot be generated. Barrier: depends on L4."
